PeakID (cmd=annotatePeaks.pl loss_I315IvI315X.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1009	chr12	131959684	131960183	+	0	NA	intron (NM_015409, intron 1 of 52)	intron (NM_015409, intron 1 of 52)	9991	NM_015409	57634	Hs.723478	NM_015409	ENSG00000183495	EP400	CAGH32|P400|TNRC12	E1A binding protein p400	protein-coding
29	chr17	16431868	16432367	+	0	NA	exon (NM_016113, exon 12 of 15)	exon (NM_016113, exon 12 of 15)	-6870	NR_027174	125144	Hs.368934	NM_152350	ENSG00000175061	SNHG29	C17orf45|C17orf76-AS1|FAM211A-AS1|LRRC75A-AS1|NCRNA00188|TSAP19	small nucleolar RNA host gene 29	ncRNA
943	chr4	169606399	169606898	+	0	NA	intron (NM_001199400, intron 1 of 32)	HAL1|LINE|L1	5935	NM_001199397	4750	Hs.481181	NM_012224	ENSG00000137601	NEK1	ALS24|NY-REN-55|SRPS2|SRPS2A|SRTD6	NIMA related kinase 1	protein-coding
877	chr6	141395239	141395738	+	0	NA	Intergenic	MER52D|LTR|ERV1	693311	NM_002511	4829	Hs.552106	NM_002511	ENSG00000135577	NMBR	BB1|BB1R|NMB-R	neuromedin B receptor	protein-coding
730	chr3	138315390	138315889	+	0	NA	exon (NM_001349018, exon 5 of 11)	exon (NM_001349018, exon 5 of 11)	14212	NM_001349018	347736	Hs.660992	NM_178130	ENSG00000181322	NME9	NM23-H9|TXL-2|TXL2|TXNDC6	NME/NM23 family member 9	protein-coding
1034	chr4	42518943	42519442	+	0	NA	intron (NM_001105529, intron 21 of 35)	AluJo|SINE|Alu	121704	NM_001080505	152573	Hs.370904	NM_001080505	ENSG00000178343	SHISA3	hShisa3	shisa family member 3	protein-coding
487	chr9	3651326	3651825	+	0	NA	Intergenic	THE1D|LTR|ERVL-MaLR	-16511	NR_121586	101929302	Hs.122828	NR_121586	ENSG00000232104	RFX3-AS1	CVAT7	RFX3 antisense RNA 1	ncRNA
1155	chr7	76495517	76496016	+	0	NA	intron (NM_001102596, intron 3 of 7)	intron (NM_001102596, intron 3 of 7)	-14657	NM_182683	105375355	Hs.488861	NM_030570	ENSG00000243566	UPK3B	P35|UP3B|UPIIIB	uroplakin 3B	protein-coding
842	chr2	39647008	39647507	+	0	NA	Intergenic	MER74A|LTR|ERVL	-18241	NM_001167959	130733	Hs.40808	NM_152390	ENSG00000152154	TMEM178A	TMEM178	transmembrane protein 178A	protein-coding
817	chr15	75275535	75276034	+	0	NA	Intergenic	Intergenic	-7057	NM_001145224	653643	Hs.672474	NM_001145224	ENSG00000140478	GOLGA6D	-	golgin A6 family member D	protein-coding
77	chr2	39403565	39404064	+	0	NA	intron (NM_003618, intron 1 of 33)	L1M1|LINE|L1	33471	NM_001270425	8491	Hs.655750	NM_003618	ENSG00000011566	MAP4K3	GLK|MAPKKKK3|MEKKK 3|MEKKK3|RAB8IPL1	mitogen-activated protein kinase kinase kinase kinase 3	protein-coding
566	chr6	75231080	75231579	+	0	NA	Intergenic	MER8|DNA|TcMar-Tigger	12472	NR_158783	1347	Hs.70312	NM_001865	ENSG00000112695	COX7A2	COX7AL|COX7AL1|COXVIIAL|COXVIIa-L|VIIAL	cytochrome c oxidase subunit 7A2	protein-coding
1243	chr1	61736352	61736851	+	0	NA	Intergenic	LTR64|LTR|ERV1	-5879	NM_176877	10207	Hs.478125	NM_005799	ENSG00000132849	PATJ	Cipp|INADL|InaD-like|hINADL	PATJ crumbs cell polarity complex component	protein-coding
453	chr1	25862109	25862608	+	0	NA	3' UTR (NM_178422, exon 2 of 2)	3' UTR (NM_178422, exon 2 of 2)	-2900	NM_001287490	79000	Hs.149305	NM_024037	ENSG00000127423	AUNIP	AIBP|C1orf135	aurora kinase A and ninein interacting protein	protein-coding
328	chr6	151351461	151351960	+	0	NA	exon (NM_005100, exon 4 of 5)	exon (NM_005100, exon 4 of 5)	10004	NM_001370346	9590	Hs.371240	NM_005100	ENSG00000131016	AKAP12	AKAP250|SSeCKS	A-kinase anchoring protein 12	protein-coding
140	chr2	177363153	177363652	+	0	NA	intron (NR_026966, intron 1 of 8)	MER70C|LTR|ERVL	29289	NR_026966	100130691	Hs.707723	NM_182585	ENSG00000213963	LOC100130691	-	uncharacterized LOC100130691	ncRNA
71	chr3	159562045	159562544	+	0	NA	intron (NM_001197108, intron 1 of 6)	intron (NM_001197108, intron 1 of 6)	206318	NR_121669	100874433	Hs.601476	NR_121669		IQCJ-SCHIP1-AS1	uaz98	IQCJ-SCHIP1 readthrough antisense RNA 1	ncRNA
845	chr16	29826025	29826524	+	0	NA	intron (NM_005115, intron 1 of 14)	MIR|SINE|MIR	-4241	NM_001293205	9961	Hs.632177	NM_005115	ENSG00000013364	MVP	LRP|VAULT1	major vault protein	protein-coding
1125	chr2	202849184	202849683	+	0	NA	intron (NM_001288622, intron 1 of 12)	L1PA8|LINE|L1	-20199	NM_001288624	130026	Hs.516629	NM_138468	ENSG00000163596	ICA1L	ALS2CR14|ALS2CR15	islet cell autoantigen 1 like	protein-coding
236	chr8	81027964	81028463	+	0	NA	intron (NM_018440, intron 3 of 8)	intron (NM_018440, intron 3 of 8)	83855	NM_018440	55824	Hs.266175	NM_018440	ENSG00000076641	PAG1	CBP|PAG	phosphoprotein membrane anchor with glycosphingolipid microdomains 1	protein-coding
773	chr1	155029929	155030428	+	0	NA	exon (NM_144622, exon 7 of 15)	exon (NM_144622, exon 7 of 15)	3603	NM_144622	127579	Hs.591491	NM_144622	ENSG00000163354	DCST2	-	DC-STAMP domain containing 2	protein-coding
400	chr9	130755140	130755639	+	0	NA	intron (NM_007313, intron 1 of 10)	intron (NM_007313, intron 1 of 10)	41508	NM_007313	25	Hs.431048	NM_005157	ENSG00000097007	ABL1	ABL|CHDSKM|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	ABL proto-oncogene 1, non-receptor tyrosine kinase	protein-coding
1102	chr4	76186250	76186749	+	0	NA	intron (NM_005506, intron 2 of 11)	intron (NM_005506, intron 2 of 11)	27325	NM_001204255	950	Hs.349656	NM_005506	ENSG00000138760	SCARB2	AMRF|CD36L2|EPM4|HLGP85|LGP85|LIMP-2|LIMPII|SR-BII	scavenger receptor class B member 2	protein-coding
1193	chr2	171903688	171904187	+	0	NA	Intergenic	Intergenic	-9631	NR_047549	8604	Hs.470608	NM_003705	ENSG00000115840	SLC25A12	AGC1|ARALAR|EIEE39	solute carrier family 25 member 12	protein-coding
325	chr22	39185609	39186108	+	0	NA	Intergenic	Intergenic	-33178	NM_001346743	23492	Hs.356416	NM_175709	ENSG00000100307	CBX7	-	chromobox 7	protein-coding
713	chr10	94368174	94368673	+	0	NA	Intergenic	LTR42|LTR|ERVL	-5484	NM_022451	64318	Hs.74899	NM_022451	ENSG00000173145	NOC3L	AD24|C10orf117|FAD24	NOC3 like DNA replication regulator	protein-coding
45	chr5	103588725	103589224	+	0	NA	Intergenic	Intergenic	-26185	NM_031438	83594	Hs.434289	NM_031438	ENSG00000112874	NUDT12	-	nudix hydrolase 12	protein-coding
848	chr5	82992369	82992868	+	0	NA	Intergenic	Intergenic	71719	NR_003139	677765	Hs.693283	NR_003139	ENSG00000238835	SCARNA18	SCARNA18A|U109	small Cajal body-specific RNA 18	ncRNA
339	chr8	80626141	80626640	+	0	NA	Intergenic	Intergenic	140164	NM_001105539	65986	Hs.591868	NM_023929	ENSG00000205189	ZBTB10	RINZF	zinc finger and BTB domain containing 10	protein-coding
227	chr6	89406463	89406962	+	0	NA	intron (NM_021244, intron 1 of 6)	LTR1A2|LTR|ERV1	5561	NM_021244	58528	Hs.31712	NM_021244	ENSG00000025039	RRAGD	RAGD|bA11D8.2.1	Ras related GTP binding D	protein-coding
94	chr13	98537173	98537672	+	0	NA	intron (NM_001032296, intron 1 of 10)	intron (NM_001032296, intron 1 of 10)	-15297	NM_003576	8428	Hs.508514	NM_003576	ENSG00000102572	STK24	HEL-S-95|MST3|MST3B|STE20|STK3	serine/threonine kinase 24	protein-coding
293	chr16	70225200	70225699	+	0	NA	non-coding (NR_033959, exon 1 of 6)	non-coding (NR_033959, exon 1 of 6)	584	NR_033959	100506060	Hs.655258	NR_033959	ENSG00000261556	SMG1P7	-	SMG1 pseudogene 7	pseudo
322	chr10	13351216	13351715	+	0	NA	Intergenic	MLT1C|LTR|ERVL-MaLR	-3167	NM_001195602	22929	Hs.124027	NM_012247	ENSG00000086475	SEPHS1	SELD|SPS|SPS1	selenophosphate synthetase 1	protein-coding
199	chr16	1112545	1113044	+	0	NA	Intergenic	MLT1A|LTR|ERVL-MaLR	-16550	NM_207419	390664	Hs.527853	NM_207419	ENSG00000184471	C1QTNF8	CTRP8|UNQ5829	C1q and TNF related 8	protein-coding
606	chr13	62899550	62900049	+	0	NA	Intergenic	AluJr4|SINE|Alu	-92440	NR_120403	100874176	Hs.402083	NR_047029		LINC00448	-	long intergenic non-protein coding RNA 448	ncRNA
1185	KZ208915.1	4570663	4571162	+	0	NA	NA	NA	NA	NA								
901	chr12	81865526	81866025	+	0	NA	Intergenic	L1P4a|LINE|L1	-87944	NR_110089	101928449	Hs.737488	NR_110089	ENSG00000257747	LINC02426	-	long intergenic non-protein coding RNA 2426	ncRNA
1209	chr10	21225818	21226317	+	0	NA	Intergenic	L1MA3|LINE|L1	51765	NR_046284	100128511	Hs.635827	NR_046283	ENSG00000231920	NEBL-AS1	-	NEBL antisense RNA 1	ncRNA
1117	chr10	68573648	68574147	+	0	NA	exon (NM_030625, exon 2 of 12)	exon (NM_030625, exon 2 of 12)	13560	NM_030625	80312	Hs.258855	NM_030625	ENSG00000138336	TET1	CXXC6|LCX|bA119F7.1	tet methylcytosine dioxygenase 1	protein-coding
1234	chr6	133817421	133817920	+	0	NA	intron (NR_109982, intron 2 of 8)	intron (NR_109982, intron 2 of 8)	-3477	NR_027030	154089	Hs.126165	NR_027030		LINC01312	-	long intergenic non-protein coding RNA 1312	ncRNA
596	chr10	122039948	122040447	+	0	NA	intron (NM_206862, intron 2 of 22)	intron (NM_206862, intron 2 of 22)	51034	NM_001291877	10579	Hs.501252	NM_006997	ENSG00000138162	TACC2	AZU-1|ECTACC	transforming acidic coiled-coil containing protein 2	protein-coding
989	chr2	99201619	99202118	+	0	NA	Intergenic	MER90a|LTR|ERV1	20684	NM_145212	51263	Hs.346736	NM_016503	ENSG00000185414	MRPL30	L28MT|L30MT|MRP-L28|MRP-L30|MRPL28|MRPL28M|RPML28	mitochondrial ribosomal protein L30	protein-coding
856	chr15	40605649	40606148	+	0	NA	intron (NM_144508, intron 3 of 25)	MLT1K|LTR|ERVL-MaLR	11649	NM_144508	57082	Hs.181855	NM_144508	ENSG00000137812	KNL1	AF15Q14|CASC5|CT29|D40|MCPH4|PPP1R55|Spc7|hKNL-1|hSpc105	kinetochore scaffold 1	protein-coding
4	chr19	43192232	43192731	+	0	NA	TTS (NM_002780)	TTS (NM_002780)	-5945	NM_002781	5673	Hs.654415	NM_002781	ENSG00000204941	PSG5	FL-NCA-3|PSG	pregnancy specific beta-1-glycoprotein 5	protein-coding
1166	chr8	89939669	89940168	+	0	NA	intron (NM_001024688, intron 15 of 16)	HAL1b|LINE|L1	37348	NM_001126111	734	Hs.436445	NM_004337	ENSG00000164823	OSGIN2	C8orf1|hT41	oxidative stress induced growth inhibitor family member 2	protein-coding
308	chr13	110879595	110880094	+	0	NA	exon (NM_017664, exon 6 of 6)	exon (NM_017664, exon 6 of 6)	-9536	NR_027701	283487	Hs.245390	NM_178514	ENSG00000255874	LINC00346	C13orf29|NCRNA00346	long intergenic non-protein coding RNA 346	ncRNA
354	chr1	11703792	11704291	+	0	NA	intron (NM_198545, intron 1 of 6)	intron (NM_198545, intron 1 of 6)	12331	NM_198545	374946	Hs.632364	NM_198545	ENSG00000162490	DRAXIN	AGPA3119|C1orf187|UNQ3119|neucrin	dorsal inhibitory axon guidance protein	protein-coding
1043	chr11	94792347	94792846	+	0	NA	intron (NM_001301007, intron 1 of 11)	intron (NM_001301007, intron 1 of 11)	24240	NM_001301007	154810	Hs.503594	NM_130847	ENSG00000166025	AMOTL1	JEAP	angiomotin like 1	protein-coding
280	chr19	27995777	27996276	+	0	NA	intron (NR_146733, intron 3 of 6)	L1P1|LINE|L1	-202086	NR_027301	148189	Hs.706547	NR_027301	ENSG00000261824	LINC00662	-	long intergenic non-protein coding RNA 662	ncRNA
26	chr7	23223163	23223662	+	0	NA	Intergenic	Intergenic	-23363	NM_002510	10457	Hs.190495	NM_002510	ENSG00000136235	GPNMB	HGFIN|NMB|PLCA3	glycoprotein nmb	protein-coding
533	chr9	134267256	134267755	+	0	NA	Intergenic	Intergenic	27892	NR_146518	105376310	Hs.573484	NR_146518	ENSG00000223729	LINC02247	-	long intergenic non-protein coding RNA 2247	ncRNA
644	chr11	17036621	17037120	+	0	NA	Intergenic	L1M1|LINE|L1	-15016	NR_045002	10819	Hs.523504	NR_045002	ENSG00000184669	OR7E14P	OR11-5|OR7E151P	olfactory receptor family 7 subfamily E member 14 pseudogene	pseudo
282	chr19	56155035	56155534	+	0	NA	intron (NM_018337, intron 3 of 4)	MER77|LTR|ERVL	13997	NM_018337	55311	Hs.24545	NM_018337	ENSG00000167685	ZNF444	EZF-2|EZF2|ZSCAN17	zinc finger protein 444	protein-coding
156	chr13	97316773	97317272	+	0	NA	intron (NM_144778, intron 2 of 8)	intron (NM_144778, intron 2 of 8)	94689	NM_144778	10150	Hs.657347	NM_144778	ENSG00000139793	MBNL2	MBLL|MBLL39|PRO2032	muscleblind like splicing regulator 2	protein-coding
578	chr3	32939841	32940340	+	0	NA	Intergenic	LTR12C|LTR|ERV1	-11554	NM_005508	1233	Hs.184926	NM_005508	ENSG00000183813	CCR4	CC-CKR-4|CD194|CKR4|CMKBR4|ChemR13|HGCN:14099|K5-5	C-C motif chemokine receptor 4	protein-coding
518	chr1	25928477	25928976	+	0	NA	Intergenic	MIR3|SINE|MIR	-21849	NM_203399	3925	Hs.209983	NM_005563	ENSG00000117632	STMN1	C1orf215|LAP18|Lag|OP18|PP17|PP19|PR22|SMN	stathmin 1	protein-coding
387	chr9	136937593	136938092	+	0	NA	Intergenic	Intergenic	6896	NM_018998	54461	Hs.522507	NM_018998	ENSG00000159069	FBXW5	Fbw5	F-box and WD repeat domain containing 5	protein-coding
1244	chr11	1269967	1270466	+	0	NA	Intergenic	Intergenic	13611	NR_106802	102466725		NR_106802	ENSG00000275669	MIR6744	hsa-mir-6744	microRNA 6744	ncRNA
285	chr10	108848876	108849375	+	0	NA	Intergenic	Intergenic	-779832	NR_125760	103695365	Hs.648991	NR_125760	ENSG00000229981	LINC01435	TCONS_00018040	long intergenic non-protein coding RNA 1435	ncRNA
709	chr17	47114419	47114918	+	0	NA	Intergenic	AluJb|SINE|Alu	74627	NM_001293089	996	Hs.463295	NM_001256	ENSG00000004897	CDC27	ANAPC3|APC3|CDC27Hs|D0S1430E|D17S978E|H-NUC|HNUC|NUC2	cell division cycle 27	protein-coding
534	chr11	59625591	59626090	+	0	NA	Intergenic	AluJb|SINE|Alu	-10066	NM_002556	5007	Hs.597091	NM_002556	ENSG00000110048	OSBP	OSBP1	oxysterol binding protein	protein-coding
643	chr7	151638790	151639289	+	0	NA	intron (NM_016203, intron 4 of 15)	intron (NM_016203, intron 4 of 15)	-6421	NM_001304531	51422	Hs.647072	NM_016203	ENSG00000106617	PRKAG2	AAKG|AAKG2|CMH6|H91620p|WPWS	protein kinase AMP-activated non-catalytic subunit gamma 2	protein-coding
781	chr16	89618500	89618999	+	0	NA	intron (NM_001128141, intron 1 of 10)	intron (NM_001128141, intron 1 of 10)	-1848	NM_004413	1800	Hs.109	NM_004413	ENSG00000015413	DPEP1	MBD1|MDP|RDP	dipeptidase 1	protein-coding
428	chr17	50798169	50798668	+	0	NA	Intergenic	Intergenic	29768	NR_107026	102466918		NR_107026	ENSG00000278672	MIR8059	hsa-mir-8059	microRNA 8059	ncRNA
1033	chr7	4697098	4697597	+	0	NA	intron (NM_001037165, intron 1 of 8)	intron (NM_001037165, intron 1 of 8)	15052	NM_001037165	221937	Hs.487393	NM_001037165	ENSG00000164916	FOXK1	FOXK1L	forkhead box K1	protein-coding
353	chr15	62966940	62967439	+	0	NA	Intergenic	Intergenic	-75558	NM_001018006	7168	Hs.133892	NM_000366	ENSG00000140416	TPM1	C15orf13|CMD1Y|CMH3|HEL-S-265|HTM-alpha|LVNC9|TMSA	tropomyosin 1	protein-coding
621	chr6	36492819	36493318	+	0	NA	TTS (NM_001305102)	TTS (NM_001305102)	50068	NR_104480	222658	Hs.188757	NM_173562	ENSG00000112078	KCTD20	C6orf69|dJ108K11.3	potassium channel tetramerization domain containing 20	protein-coding
1229	chr17	16061454	16061953	+	0	NA	exon (NM_006311, exon 37 of 46)	exon (NM_006311, exon 37 of 46)	61879	NM_001271420	54902	Hs.462316	NM_017775	ENSG00000011295	TTC19	2010204O13Rik|MC3DN2	tetratricopeptide repeat domain 19	protein-coding
1110	chr9	125126888	125127387	+	0	NA	intron (NM_173690, intron 2 of 18)	MamGypLTR1b|LTR|Gypsy	16391	NM_001144877	286205	Hs.59504	NM_173690	ENSG00000173611	SCAI	C9orf126|NET40	suppressor of cancer cell invasion	protein-coding
926	chr14	64969740	64970239	+	0	NA	intron (NM_001330182, intron 1 of 7)	intron (NM_001330182, intron 1 of 7)	2347	NM_001308154	376267	Hs.512492	NM_198686	ENSG00000139998	RAB15	-	RAB15, member RAS oncogene family	protein-coding
148	chr19	10905216	10905715	+	0	NA	intron (NM_001370089, intron 2 of 14)	intron (NM_001370089, intron 2 of 14)	23174	NM_024029	78992	Hs.164026	NM_024029	ENSG00000130733	YIPF2	FinGER2	Yip1 domain family member 2	protein-coding
320	chr19	3346051	3346550	+	0	NA	Intergenic	Intergenic	-13330	NM_001245005	4782	Hs.170131	NM_005597	ENSG00000141905	NFIC	CTF|CTF5|NF-I|NFI	nuclear factor I C	protein-coding
774	chr1	26127803	26128302	+	0	NA	Intergenic	L1MEc|LINE|L1	16228	NM_152835	149420	Hs.468801	NM_152835	ENSG00000175087	PDIK1L	CLIK1L|STK35L2	PDLIM1 interacting kinase 1 like	protein-coding
1152	chr21	45164334	45164833	+	0	NA	intron (NM_001346687, intron 1 of 11)	intron (NM_001346687, intron 1 of 11)	12053	NM_001346687	104	Hs.474018	NM_001112	ENSG00000197381	ADARB1	ADAR2|DRABA2|DRADA2|RED1	adenosine deaminase RNA specific B1	protein-coding
405	chr2	177316493	177316992	+	0	NA	intron (NR_026966, intron 6 of 8)	Tigger3a|DNA|TcMar-Tigger	-2860	NR_106767	102465255		NR_106767	ENSG00000278418	MIR6512	hsa-mir-6512|mir-6512	microRNA 6512	ncRNA
714	chr18	21309180	21309679	+	0	NA	intron (NM_001142966, intron 1 of 32)	intron (NM_001142966, intron 1 of 32)	67187	NM_001142966	80000	Hs.149020	NM_024935	ENSG00000141449	GREB1L	C18orf6|KIAA1772|RHDA3	GREB1 like retinoic acid receptor coactivator	protein-coding
561	chr16	48373567	48374066	+	0	NA	intron (NM_003031, intron 1 of 1)	L2a|LINE|L2	-7929	NM_001006610	6477	Hs.706828	NM_003031	ENSG00000196470	SIAH1	SIAH1A	siah E3 ubiquitin protein ligase 1	protein-coding
294	chr7	47709287	47709786	+	0	NA	Intergenic	Intergenic	-51940	NR_038407	84847	Hs.488236	NR_038407	ENSG00000146666	LINC00525	-	long intergenic non-protein coding RNA 525	ncRNA
559	chr8	80899106	80899605	+	0	NA	Intergenic	AluY|SINE|Alu	-24574	NM_001033723	619279	Hs.434957	NM_032651	ENSG00000164684	ZNF704	Gig1	zinc finger protein 704	protein-coding
899	chr16	1230903	1231402	+	0	NA	promoter-TSS (NM_024164)	promoter-TSS (NM_024164)	-968	NM_024164	64499	Hs.405479	NM_024164	ENSG00000197253	TPSB2	TPS2|tryptaseB|tryptaseC	tryptase beta 2 (gene/pseudogene)	protein-coding
937	chr5	167820450	167820949	+	0	NA	intron (NM_001080428, intron 1 of 24)	intron (NM_001080428, intron 1 of 24)	65770	NM_001080428	57451	Hs.631957	NM_001080428	ENSG00000145934	TENM2	ODZ2|TEN-M2|TNM2|ten-2	teneurin transmembrane protein 2	protein-coding
738	chr22	24269204	24269703	+	0	NA	Intergenic	Intergenic	-1364	NR_103546	101730217	Hs.474384	NR_103546	ENSG00000258555	SPECC1L-ADORA2A	-	SPECC1L-ADORA2A readthrough (NMD candidate)	ncRNA
1122	chr10	3735040	3735539	+	0	NA	intron (NR_131187, intron 1 of 1)	intron (NR_131187, intron 1 of 1)	49920	NR_027653	1316	Hs.4055	NM_001300	ENSG00000067082	KLF6	BCD1|CBA1|COPEB|CPBP|GBF|PAC1|ST12|ZF9	Kruppel like factor 6	protein-coding
1089	chr13	59918384	59918883	+	0	NA	intron (NM_001258369, intron 18 of 26)	L1M1|LINE|L1	-94085	NR_109838	100874195	Hs.664101	NR_046539	ENSG00000227528	DIAPH3-AS1	-	DIAPH3 antisense RNA 1	ncRNA
402	chr18	63216304	63216803	+	0	NA	intron (NM_000633, intron 2 of 2)	intron (NM_000633, intron 2 of 2)	102827	NM_000633	596	Hs.150749	NM_000633	ENSG00000171791	BCL2	Bcl-2|PPP1R50	BCL2 apoptosis regulator	protein-coding
1114	chr4	104512337	104512836	+	0	NA	intron (NR_125926, intron 1 of 9)	ERV3-16A3_I-int|LTR|ERVL	-17692	NM_025212	80319	Hs.12248	NM_025212	ENSG00000168772	CXXC4	IDAX	CXXC finger protein 4	protein-coding
1196	chr7	76498708	76499207	+	0	NA	intron (NM_020892, intron 7 of 11)	(GT)n|Simple_repeat|Simple_repeat	-11466	NM_182683	105375355	Hs.488861	NM_030570	ENSG00000243566	UPK3B	P35|UP3B|UPIIIB	uroplakin 3B	protein-coding
431	chr20	34259976	34260475	+	0	NA	promoter-TSS (NM_001672)	promoter-TSS (NM_001672)	-140	NM_001672	434	Hs.659995	NM_001672	ENSG00000101440	ASIP	AGSW|AGTI|AGTIL|ASP|SHEP9	agouti signaling protein	protein-coding
638	chr20	44868329	44868828	+	0	NA	Intergenic	LTR16|LTR|ERVL	-17127	NM_139323	7529	Hs.643544	NM_003404	ENSG00000166913	YWHAB	GW128|HEL-S-1|HS1|KCIP-1|YWHAA	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta	protein-coding
1237	chr11	83138881	83139380	+	0	NA	Intergenic	L2c|LINE|L2	-18001	NM_015885	51585	Hs.128959	NM_015885	ENSG00000165494	PCF11	-	PCF11 cleavage and polyadenylation factor subunit	protein-coding
1018	chr14	92549031	92549530	+	0	NA	intron (NM_024832, intron 1 of 9)	intron (NM_024832, intron 1 of 9)	-26954	NM_001319987	79890	Hs.326822	NM_024832	ENSG00000100599	RIN3	-	Ras and Rab interactor 3	protein-coding
614	chr7	18560396	18560895	+	0	NA	intron (NM_001204147, intron 1 of 9)	L2b|LINE|L2	51375	NM_001204147	9734	Hs.196054	NM_014707	ENSG00000048052	HDAC9	HD7|HD7b|HD9|HDAC|HDAC7|HDAC7B|HDAC9B|HDAC9FL|HDRP|MITR	histone deacetylase 9	protein-coding
599	chr16	24718025	24718524	+	0	NA	intron (NM_001351850, intron 2 of 23)	intron (NM_001351850, intron 2 of 23)	-11377	NM_001330520	27327	Hs.655057	NM_014494	ENSG00000090905	TNRC6A	CAGH26|FAME6|GW1|GW182|TNRC6	trinucleotide repeat containing adaptor 6A	protein-coding
986	KI270878.1	163076	163575	+	0	NA	NA	NA	NA	NA								
674	chr10	28791350	28791849	+	0	NA	non-coding (NR_038374, exon 3 of 3)	non-coding (NR_038374, exon 3 of 3)	4451	NR_038375	100507605	Hs.119207	NR_038374	ENSG00000235824	LINC00837	-	long intergenic non-protein coding RNA 837	ncRNA
254	chr1	184005171	184005670	+	0	NA	intron (NM_001303421, intron 1 of 11)	intron (NM_001303421, intron 1 of 11)	32308	NM_015101	23127	Hs.387995	NM_015101	ENSG00000198756	COLGALT2	C1orf17|ColGalT 2|GLT25D2	collagen beta(1-O)galactosyltransferase 2	protein-coding
208	chr8	108186935	108187434	+	0	NA	Intergenic	MLT2F|LTR|ERVL	61533	NM_001568	3646	Hs.405590	NM_001568	ENSG00000104408	EIF3E	EIF3-P48|EIF3S6|INT6|eIF3-p46	eukaryotic translation initiation factor 3 subunit E	protein-coding
859	chr4	142434439	142434938	+	0	NA	intron (NM_001331040, intron 3 of 25)	intron (NM_001331040, intron 3 of 25)	411847	NM_001331040	8821	Hs.176376	NM_003866	ENSG00000109452	INPP4B	-	inositol polyphosphate-4-phosphatase type II B	protein-coding
36	chr1	112687991	112688490	+	0	NA	intron (NM_001286072, intron 3 of 21)	L2b|LINE|L2	13502	NM_001369507	4343	Hs.514941	NM_020963	ENSG00000155363	MOV10	fSAP113|gb110	Mov10 RISC complex RNA helicase	protein-coding
861	chr2	58514189	58514688	+	0	NA	Intergenic	MER5A|DNA|hAT-Charlie	-6315	NR_033873	400955	Hs.503210	NR_033873	ENSG00000233723	LINC01122	-	long intergenic non-protein coding RNA 1122	ncRNA
380	chr3	136617046	136617545	+	0	NA	intron (NM_005862, intron 3 of 33)	intron (NM_005862, intron 3 of 33)	135083	NM_005862	10274	Hs.412586	NM_005862	ENSG00000118007	STAG1	MRD47|SA1|SCC3A	stromal antigen 1	protein-coding
721	chr5	77080285	77080784	+	0	NA	promoter-TSS (NR_003014)	promoter-TSS (NR_003014)	37	NR_003014	677828	Hs.693249	NR_003014	ENSG00000238961	SNORA47	HBI-115	small nucleolar RNA, H/ACA box 47	snoRNA
818	chr17	49522488	49522987	+	0	NA	intron (NR_103773, intron 1 of 2)	intron (NR_103773, intron 1 of 2)	11920	NR_106751	102465141		NR_106751	ENSG00000277478	MIR6165	hsa-mir-6165	microRNA 6165	ncRNA
336	chr4	103167855	103168354	+	0	NA	intron (NM_001813, intron 16 of 48)	L1M3a|LINE|L1	30239	NM_001813	1062	Hs.75573	NM_001813	ENSG00000138778	CENPE	CENP-E|KIF10|MCPH13|PPP1R61	centromere protein E	protein-coding
930	chr6	111252239	111252738	+	0	NA	Intergenic	AluJb|SINE|Alu	-6851	NM_153369	91749	Hs.400572	NM_153369	ENSG00000173214	MFSD4B	KIAA1919|NaGLT1	major facilitator superfamily domain containing 4B	protein-coding
681	chr6	155415609	155416108	+	0	NA	intron (NM_015718, intron 10 of 13)	intron (NM_015718, intron 10 of 13)	39981	NM_015718	50508	Hs.247776	NM_015718	ENSG00000074771	NOX3	GP91-3|MOX-2	NADPH oxidase 3	protein-coding
743	chr5	154737745	154738244	+	0	NA	intron (NM_001367717, intron 1 of 18)	intron (NM_001367717, intron 1 of 18)	-17383	NM_001367718	23367	Hs.292078	NM_015315	ENSG00000155506	LARP1	LARP	La ribonucleoprotein domain family member 1	protein-coding
488	chr5	140967653	140968152	+	0	NA	exon (NM_018899, exon 1 of 4)	exon (NM_018899, exon 1 of 4)	1135	NM_031883	56134	Hs.199343	NM_018899	ENSG00000243232	PCDHAC2	PCDH-ALPHA-C2	protocadherin alpha subfamily C, 2	protein-coding
878	chr10	13872015	13872514	+	0	NA	intron (NM_018027, intron 2 of 24)	intron (NM_018027, intron 2 of 24)	99632	NM_001318337	55691	Hs.330463	NM_018027	ENSG00000151474	FRMD4A	CCAFCA|FRMD4|bA295P9.4	FERM domain containing 4A	protein-coding
225	chr14	39005384	39005883	+	0	NA	Intergenic	Intergenic	-88751	NR_039982	283547	Hs.675941	NR_039982	ENSG00000259070	LINC00639	-	long intergenic non-protein coding RNA 639	ncRNA
