PeakID (cmd=annotatePeaks.pl gain_I315IvI315X.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
15734	chr6	138662365	138662864	+	0	NA	Intergenic	Intergenic	-29054	NR_033896	441172	Hs.92290	NR_033896		FLJ46906	-	uncharacterized LOC441172	ncRNA
8890	chr3	64650644	64651143	+	0	NA	intron (NM_001318781, intron 8 of 38)	intron (NM_001318781, intron 8 of 38)	-33977	NR_038264	100507098	Hs.660881	NR_038264	ENSG00000241684	ADAMTS9-AS2	-	ADAMTS9 antisense RNA 2	ncRNA
21051	chr6	167232296	167232795	+	0	NA	non-coding (NR_157263, exon 3 of 4)	non-coding (NR_157263, exon 3 of 4)	4245	NR_157263	112590798		NR_157263		HPAT5	-	human pluripotency-associated transcript 5	ncRNA
7575	chr7	17444621	17445120	+	0	NA	intron (NR_110015, intron 1 of 2)	intron (NR_110015, intron 1 of 2)	69953	NR_110015	102659288	Hs.559488	NR_110014		KCCAT333	-	renal clear cell carcinoma-associated transcript 333	ncRNA
12097	chr4	72858239	72858738	+	0	NA	Intergenic	Intergenic	211228	NM_001297732	285521	Hs.356697	NM_173827	ENSG00000163626	COX18	COX18HS	cytochrome c oxidase assembly factor COX18	protein-coding
12235	chr6	4370046	4370545	+	0	NA	Intergenic	Intergenic	-118503	NR_149117	105374895	Hs.436882	NR_149117		LINC02533	-	long intergenic non-protein coding RNA 2533	ncRNA
5001	chr8	125525245	125525744	+	0	NA	Intergenic	HERV16-int|LTR|ERVL	93285	NM_001282985	10221	Hs.444947	NM_025195	ENSG00000173334	TRIB1	C8FW|GIG-2|GIG2|SKIP1|TRB-1|TRB1	tribbles pseudokinase 1	protein-coding
1342	chr2	111659586	111660085	+	0	NA	Intergenic	MER21C|LTR|ERVL	111299	NR_039928	100616370		NR_039928	ENSG00000264793	MIR4771-1	-	microRNA 4771-1	ncRNA
25663	chr11	86800223	86800722	+	0	NA	promoter-TSS (NM_007173)	promoter-TSS (NM_007173)	-70	NM_007173	11098	Hs.25338	NM_007173	ENSG00000150687	PRSS23	SIG13|SPUVE|ZSIG13	serine protease 23	protein-coding
6093	chr5	135660720	135661219	+	0	NA	intron (NM_001349335, intron 3 of 10)	intron (NM_001349335, intron 3 of 10)	-7034	NR_027127	340074	Hs.434633	NR_027127	ENSG00000251045	SLC25A48-AS1	LINC01959	SLC25A48 antisense RNA 1	ncRNA
7057	chr14	36086541	36087040	+	0	NA	intron (NR_073454, intron 1 of 2)	intron (NR_073454, intron 1 of 2)	16363	NR_073454	101101773	Hs.640678	NR_073454	ENSG00000257585	LINC00609	-	long intergenic non-protein coding RNA 609	ncRNA
1119	chr18	8948531	8949030	+	0	NA	Intergenic	LTR67B|LTR|ERVL	-153919	NM_021074	4729	Hs.464572	NM_021074	ENSG00000178127	NDUFV2	CI-24k|MC1DN7	NADH:ubiquinone oxidoreductase core subunit V2	protein-coding
11192	chr6	149103080	149103579	+	0	NA	Intergenic	L1PB4|LINE|L1	-70668	NR_134599	105378047	Hs.659484	NR_134599		LOC105378047	-	uncharacterized LOC105378047	ncRNA
9322	chr3	8658335	8658834	+	0	NA	Intergenic	Intergenic	-6500	NM_015931	51066	Hs.736935	NM_015931	ENSG00000125046	SSUH2	C3orf32|SSU-2|fls485	ssu-2 homolog	protein-coding
13078	chr12	46154167	46154666	+	0	NA	Intergenic	MIR3|SINE|MIR	112100	NM_001278389	81539	Hs.533770	NM_030674	ENSG00000111371	SLC38A1	ATA1|NAT2|SAT1|SNAT1	solute carrier family 38 member 1	protein-coding
25326	chr6	140319122	140319621	+	0	NA	Intergenic	Intergenic	114119	NR_037441	100500879		NR_037441	ENSG00000263514	MIR3668	-	microRNA 3668	ncRNA
13422	chr3	148911102	148911601	+	0	NA	Intergenic	LTR33B|LTR|ERVL	46055	NM_001870	1359	Hs.646	NM_001870	ENSG00000163751	CPA3	MC-CPA	carboxypeptidase A3	protein-coding
7436	chr17	17027999	17028498	+	0	NA	Intergenic	Intergenic	-14209	NM_001364716	23164	Hs.462341	NM_015134	ENSG00000133030	MPRIP	M-RIP|MRIP|RHOIP3|RIP3|p116Rip	myosin phosphatase Rho interacting protein	protein-coding
8855	chr1	162136728	162137227	+	0	NA	intron (NM_014697, intron 1 of 9)	intron (NM_014697, intron 1 of 9)	-20130	NR_039798	100616386		NR_039798	ENSG00000266144	MIR4654	mir-4654	microRNA 4654	ncRNA
26909	chr10	95628750	95629249	+	0	NA	intron (NM_001323414, intron 7 of 17)	intron (NM_001323414, intron 7 of 17)	27712	NM_001323414	5832	Hs.500645	NM_002860	ENSG00000059573	ALDH18A1	ADCL3|ARCL3A|GSAS|P5CS|PYCS|SPG9|SPG9A|SPG9B	aldehyde dehydrogenase 18 family member A1	protein-coding
25046	chr2	21333624	21334123	+	0	NA	Intergenic	Intergenic	209887	NM_001306137	100129278	Hs.651096	NM_001306137	ENSG00000218819	TDRD15	-	tudor domain containing 15	protein-coding
7715	chr10	12825230	12825729	+	0	NA	intron (NM_001351032, intron 11 of 11)	intron (NM_001351032, intron 11 of 11)	-100126	NR_031752	100313841		NR_031752	ENSG00000221331	MIR548Q	-	microRNA 548q	ncRNA
3737	chr2	220279855	220280354	+	0	NA	Intergenic	L2c|LINE|L2	-373539	NR_036228	100422959		NR_036228	ENSG00000266518	MIR4268	-	microRNA 4268	ncRNA
21998	chr9	89814499	89814998	+	0	NA	Intergenic	Intergenic	-154668	NR_109791	101927847	Hs.584312	NR_109791		LOC101927847	-	uncharacterized LOC101927847	ncRNA
22184	chr6	87772860	87773359	+	0	NA	Intergenic	MER50|LTR|ERV1	-11751	NR_110869	101928911	Hs.571178	NR_110869		LOC101928911	-	uncharacterized LOC101928911	ncRNA
20545	chr3	114122257	114122756	+	0	NA	Intergenic	Intergenic	56270	NM_001290809	1814	Hs.121478	NM_000796	ENSG00000151577	DRD3	D3DR|ETM1|FET1	dopamine receptor D3	protein-coding
6583	chr1	56904466	56904965	+	0	NA	intron (NM_000562, intron 7 of 10)	MIR3|SINE|MIR	49945	NM_000562	731	Hs.93210	NM_000562	ENSG00000157131	C8A	-	complement C8 alpha chain	protein-coding
21603	chr2	120500097	120500596	+	0	NA	Intergenic	Intergenic	-33997	NR_027181	84931	Hs.334519	NM_032845	ENSG00000280409	LINC01101	-	long intergenic non-protein coding RNA 1101	ncRNA
10681	chr15	68340909	68341408	+	0	NA	intron (NM_001004439, intron 10 of 29)	intron (NM_001004439, intron 10 of 29)	63413	NM_015322	10116	Hs.362733	NM_015322	ENSG00000169018	FEM1B	F1A-ALPHA|F1AA|FEM1-beta	fem-1 homolog B	protein-coding
12356	chr13	78160736	78161235	+	0	NA	intron (NR_047001, intron 1 of 5)	intron (NR_047001, intron 1 of 5)	106130	NR_047001	100874222	Hs.493062	NR_047001	ENSG00000234377	OBI1-AS1	POU4F1-AS1|RNF219-AS1	OBI1 antisense RNA 1	ncRNA
8304	chr2	37390393	37390892	+	0	NA	Intergenic	Intergenic	46012	NM_012413	25797	Hs.79033	NM_012413	ENSG00000115828	QPCT	GCT|QC|sQC	glutaminyl-peptide cyclotransferase	protein-coding
24523	chr11	16871382	16871881	+	0	NA	intron (NM_001329630, intron 3 of 26)	intron (NM_001329630, intron 3 of 26)	54391	NR_145810	109623465		NR_145810		SNORD147	-	small nucleolar RNA, C/D box 147	snoRNA
6869	chr2	204261409	204261908	+	0	NA	Intergenic	Intergenic	-283817	NM_001302769	117583	Hs.657382	NM_057177	ENSG00000116117	PARD3B	ALS2CR19|PAR3B|PAR3L|PAR3beta	par-3 family cell polarity regulator beta	protein-coding
16144	chr1	174953587	174954086	+	0	NA	intron (NR_121196, intron 1 of 5)	LTR22A|LTR|ERVK	425	NR_121196	101928696	Hs.666680	NR_121196	ENSG00000229531	LOC101928696	-	uncharacterized LOC101928696	ncRNA
4969	chr18	39630926	39631425	+	0	NA	intron (NR_024391, intron 2 of 3)	intron (NR_024391, intron 2 of 3)	-9000	NR_030628	100126323		NR_030628	ENSG00000283615	MIR924	MIRN924|hsa-mir-924	microRNA 924	ncRNA
20126	chr10	99785639	99786138	+	0	NA	intron (NM_000392, intron 2 of 31)	intron (NM_000392, intron 2 of 31)	3248	NM_000392	1244	Hs.368243	NM_000392	ENSG00000023839	ABCC2	ABC30|CMOAT|DJS|MRP2|cMRP	ATP binding cassette subfamily C member 2	protein-coding
9601	chr9	94692483	94692982	+	0	NA	Intergenic	Intergenic	-33937	NM_032823	84909	Hs.434253	NM_032823	ENSG00000148120	AOPEP	AP-O|APO|C90RF3|C9orf3|ONPEP	aminopeptidase O (putative)	protein-coding
25292	chr3	155973112	155973611	+	0	NA	Intergenic	MLT1C|LTR|ERVL-MaLR	102711	NM_003875	8833	Hs.591314	NM_003875	ENSG00000163655	GMPS	GATD7	guanine monophosphate synthase	protein-coding
20676	chr15	55661289	55661788	+	0	NA	intron (NM_173814, intron 11 of 19)	intron (NM_173814, intron 11 of 19)	-72567	NM_015617	26108	Hs.87194	NM_015617	ENSG00000171016	PYGO1	-	pygopus family PHD finger 1	protein-coding
8332	chr6	133641042	133641541	+	0	NA	intron (NR_109982, intron 4 of 8)	intron (NR_109982, intron 4 of 8)	-179856	NR_027030	154089	Hs.126165	NR_027030		LINC01312	-	long intergenic non-protein coding RNA 1312	ncRNA
2529	chr9	76818249	76818748	+	0	NA	intron (NM_001308048, intron 6 of 17)	intron (NM_001308048, intron 6 of 17)	54062	NR_132312	50652	Hs.663766	NR_015342	ENSG00000225937	PCA3	DD3|NCRNA00019|PCAT3|PRUNE2-AS1	prostate cancer associated 3	ncRNA
3077	chr3	100114581	100115080	+	0	NA	promoter-TSS (NM_182909)	promoter-TSS (NM_182909)	-100	NM_001167924	84319	Hs.581320	NM_032359	ENSG00000184220	CMSS1	C3orf26	cms1 ribosomal small subunit homolog	protein-coding
3555	chr4	73007649	73008148	+	0	NA	Intergenic	Intergenic	61818	NM_001297732	285521	Hs.356697	NM_173827	ENSG00000163626	COX18	COX18HS	cytochrome c oxidase assembly factor COX18	protein-coding
14421	chr6	12276206	12276705	+	0	NA	Intergenic	L2c|LINE|L2	-13906	NM_001955	1906	Hs.511899	NM_001955	ENSG00000078401	EDN1	ARCND3|ET1|HDLCQ7|PPET1|QME	endothelin 1	protein-coding
19717	chr17	35684282	35684781	+	0	NA	intron (NM_001030006, intron 18 of 21)	intron (NM_001030006, intron 18 of 21)	-47108	NM_033315	91608	Hs.744994	NM_033315	ENSG00000270885	RASL10B	RRP17|VTS58635	RAS like family 10 member B	protein-coding
6379	chr7	27434671	27435170	+	0	NA	Intergenic	Intergenic	-181054	NR_122122	790953	Hs.571330	NR_122122		TSL	-	testis-expressed, seven-twelve, leukemia	ncRNA
3196	chr1	218779307	218779806	+	0	NA	intron (NR_031644, intron 4 of 6)	MLT1K|LTR|ERVL-MaLR	138955	NR_146917	105372925	Hs.666318	NR_146917		LINC01710	-	long intergenic non-protein coding RNA 1710	ncRNA
2591	chr1	170214108	170214607	+	0	NA	intron (NR_146891, intron 1 of 4)	intron (NR_146891, intron 1 of 4)	39978	NR_146891	105371609	Hs.508115	NR_146891		LINC01681	-	long intergenic non-protein coding RNA 1681	ncRNA
3080	chr14	20512512	20513011	+	0	NA	Intergenic	Intergenic	2289	NM_001012975	338879	Hs.451057	NM_001012975	ENSG00000182545	RNASE10	RAH1|RNASE9	ribonuclease A family member 10 (inactive)	protein-coding
17718	chr7	95472414	95472913	+	0	NA	Intergenic	Intergenic	-13238	NM_145872	51666	Hs.602765	NM_016116	ENSG00000005981	ASB4	ASB-4	ankyrin repeat and SOCS box containing 4	protein-coding
16103	chr2	20567341	20567840	+	0	NA	Intergenic	Intergenic	24958	NR_046836	100874343	Hs.591546	NR_046836	ENSG00000231948	HS1BP3-IT1	-	HS1BP3 intronic transcript 1	ncRNA
420	chr11	79512683	79513182	+	0	NA	Intergenic	Intergenic	-71902	NM_001098816	26011	Hs.213087	NM_001098816	ENSG00000149256	TENM4	Doc4|ETM5|ODZ4|TNM4|Ten-M4|ten-4	teneurin transmembrane protein 4	protein-coding
25433	chr4	40333954	40334453	+	0	NA	Intergenic	Intergenic	-1130	NM_017581	55584	Hs.272278	NM_017581	ENSG00000174343	CHRNA9	HSA243342|NACHRA9	cholinergic receptor nicotinic alpha 9 subunit	protein-coding
25912	chr3	113239871	113240370	+	0	NA	intron (NM_001301861, intron 2 of 19)	intron (NM_001301861, intron 2 of 19)	28004	NM_001301861	91653	Hs.591318	NM_033254	ENSG00000144857	BOC	CDON2	BOC cell adhesion associated, oncogene regulated	protein-coding
26692	chr2	40164594	40165093	+	0	NA	intron (NM_001351483, intron 6 of 8)	intron (NM_001351483, intron 6 of 8)	247209	NR_038441	100128590	Hs.744988	NR_038441	ENSG00000227028	SLC8A1-AS1	-	SLC8A1 antisense RNA 1	ncRNA
11785	chr3	56829479	56829978	+	0	NA	intron (NM_001128615, intron 4 of 12)	intron (NM_001128615, intron 4 of 12)	-27779	NM_019555	50650	Hs.476402	NM_019555	ENSG00000163947	ARHGEF3	GEF3|STA3|XPLN	Rho guanine nucleotide exchange factor 3	protein-coding
20812	chr1	229792515	229793014	+	0	NA	Intergenic	Intergenic	93054	NR_146476	101927504		NR_146473	ENSG00000227043	LINC01682	-	long intergenic non-protein coding RNA 1682	ncRNA
15531	chr13	28509454	28509953	+	0	NA	Intergenic	HAL1b|LINE|L1	-14575	NM_001160030	2321	Hs.594454	NM_002019	ENSG00000102755	FLT1	FLT|FLT-1|VEGFR-1|VEGFR1	fms related tyrosine kinase 1	protein-coding
13894	chr14	22265964	22266463	+	0	NA	Intergenic	Intergenic	166540	NR_148364	105370401	Hs.435144	NR_148361		LOC105370401	-	uncharacterized LOC105370401	ncRNA
3590	chr9	7320044	7320543	+	0	NA	Intergenic	Intergenic	479485	NM_033428	90871	Hs.7517	NM_033428	ENSG00000137038	DMAC1	C9orf123|TMEM261	distal membrane arm assembly complex 1	protein-coding
2081	chr1	31531023	31531522	+	0	NA	Intergenic	ERV24B_Prim-int|LTR|ERV1	12837	NR_027085	284551	Hs.658659	NR_027085		LINC01226	-	long intergenic non-protein coding RNA 1226	ncRNA
15118	chr2	146853708	146854207	+	0	NA	Intergenic	MIRb|SINE|MIR	266900	NR_026904	728773	Hs.334462	NR_026904		PABPC1P2	PABP2|PABP4|PABPCP2|PABPCP4	poly(A) binding protein cytoplasmic 1 pseudogene 2	pseudo
2669	chr2	149278154	149278653	+	0	NA	Intergenic	Intergenic	-51582	NM_001195685	130574	Hs.21929	NM_194317	ENSG00000187123	LYPD6	-	LY6/PLAUR domain containing 6	protein-coding
25018	chr7	103752933	103753432	+	0	NA	exon (NM_173054, exon 5 of 64)	exon (NM_173054, exon 5 of 64)	236334	NM_173054	5649	Hs.655654	NM_005045	ENSG00000189056	RELN	ETL7|LIS2|PRO1598|RL	reelin	protein-coding
5189	chr7	121515114	121515613	+	0	NA	Intergenic	MLT1A0|LTR|ERVL-MaLR	-118995	NM_001040020	10447	Hs.434053	NM_014888	ENSG00000196937	FAM3C	GS3786|ILEI	family with sequence similarity 3 member C	protein-coding
16498	chr10	75508310	75508809	+	0	NA	intron (NM_001305581, intron 2 of 6)	intron (NM_001305581, intron 2 of 6)	-43899	NR_030337	693191		NR_030337	ENSG00000207583	MIR606	MIRN606|hsa-mir-606	microRNA 606	ncRNA
27406	chr9	74803311	74803810	+	0	NA	intron (NM_017662, intron 15 of 38)	intron (NM_017662, intron 15 of 38)	83787	NM_001177311	140803	Hs.272225	NM_017662	ENSG00000119121	TRPM6	CHAK2|HMGX|HOMG|HOMG1|HSH	transient receptor potential cation channel subfamily M member 6	protein-coding
14435	chr4	182240315	182240814	+	0	NA	Intergenic	Intergenic	-2838	NM_001080477	55714	Hs.130438	NM_001080477	ENSG00000218336	TENM3	MCOPCB9|ODZ3|TNM3|Ten-m3|ten-3	teneurin transmembrane protein 3	protein-coding
6016	chr16	23423369	23423868	+	0	NA	intron (NM_153603, intron 7 of 16)	intron (NM_153603, intron 7 of 16)	29571	NM_153603	91949	Hs.185807	NM_153603	ENSG00000168434	COG7	CDG2E	component of oligomeric golgi complex 7	protein-coding
11409	chr13	34866587	34867086	+	0	NA	Intergenic	MER39|LTR|ERV1	-75451	NM_015678	26960	Hs.491172	NM_015678	ENSG00000172915	NBEA	BCL8B|LYST2	neurobeachin	protein-coding
10589	chr4	186653952	186654451	+	0	NA	intron (NM_005245, intron 3 of 26)	intron (NM_005245, intron 3 of 26)	69655	NM_005245	2195	Hs.481371	NM_005245	ENSG00000083857	FAT1	CDHF7|CDHR8|FAT|ME5|hFat1	FAT atypical cadherin 1	protein-coding
13887	chr4	6834811	6835310	+	0	NA	intron (NM_001100590, intron 2 of 8)	MLT1H1|LTR|ERVL-MaLR	52328	NM_001100590	9778	Hs.79276	NM_014743	ENSG00000170871	KIAA0232	-	KIAA0232	protein-coding
15469	chr12	97397003	97397502	+	0	NA	Intergenic	Intergenic	-65524	NR_152618	196475	Hs.652568	NR_024037	ENSG00000255794	RMST	LINC00054|NCRMS|NCRNA00054	rhabdomyosarcoma 2 associated transcript	ncRNA
28393	chr2	179588402	179588901	+	0	NA	intron (NR_148056, intron 3 of 9)	intron (NR_148056, intron 3 of 9)	-2745	NR_104234	151126	Hs.655005	NM_152520	ENSG00000144331	ZNF385B	ZNF533	zinc finger protein 385B	protein-coding
16736	chr11	19674383	19674882	+	0	NA	intron (NM_001111018, intron 1 of 37)	intron (NM_001111018, intron 1 of 37)	-38205	NM_182964	89797	Hs.64341	NM_145117	ENSG00000166833	NAV2	HELAD1|POMFIL2|RAINB1|STEERIN2|UNC53H2	neuron navigator 2	protein-coding
25251	chrX	149606053	149606552	+	0	NA	intron (NM_001174092, intron 2 of 5)	MER119|DNA|hAT-Charlie	-10988	NM_016153	100506164	Hs.656936	NM_016153	ENSG00000171116	HSFX1	LW-1	heat shock transcription factor family, X-linked 1	protein-coding
26003	chr6	47097293	47097792	+	0	NA	Intergenic	Intergenic	-55210	NM_025048	266977	Hs.733762	NM_025048	ENSG00000153292	ADGRF1	GPR110|KPG_012|PGR19|hGPCR36	adhesion G protein-coupled receptor F1	protein-coding
18899	chrX	41912893	41913392	+	0	NA	intron (NM_003688, intron 1 of 26)	intron (NM_003688, intron 1 of 26)	9892	NM_003688	8573	Hs.495984	NM_003688	ENSG00000147044	CASK	CAGH39|CAMGUK|CMG|FGS4|LIN2|MICPCH|MRXSNA|TNRC8|hCASK	calcium/calmodulin dependent serine protein kinase	protein-coding
15525	chr20	33944918	33945417	+	0	NA	Intergenic	FordPrefect|DNA|hAT-Tip100	-48744	NM_007367	22913	Hs.136947	NM_007367	ENSG00000125970	RALY	HNRPCL2|P542	RALY heterogeneous nuclear ribonucleoprotein	protein-coding
17964	chr8	125498088	125498587	+	0	NA	Intergenic	AluSx|SINE|Alu	66128	NM_001282985	10221	Hs.444947	NM_025195	ENSG00000173334	TRIB1	C8FW|GIG-2|GIG2|SKIP1|TRB-1|TRB1	tribbles pseudokinase 1	protein-coding
10026	chr5	72225090	72225589	+	0	NA	intron (NM_015084, intron 9 of 10)	intron (NM_015084, intron 9 of 10)	45552	NM_001324255	4131	Hs.335079	NM_005909	ENSG00000131711	MAP1B	FUTSCH|MAP5|PPP1R102	microtubule associated protein 1B	protein-coding
4051	chr8	31342050	31342549	+	0	NA	Intergenic	Intergenic	-297453	NM_013962	3084	Hs.453951	NM_004495	ENSG00000157168	NRG1	ARIA|GGF|GGF2|HGL|HRG|HRG1|HRGA|MST131|MSTP131|NDF|NRG1-IT2|SMDF	neuregulin 1	protein-coding
24617	chr6	146887622	146888121	+	0	NA	intron (NR_034115, intron 7 of 10)	intron (NR_034115, intron 7 of 10)	-84047	NR_003954	729176	Hs.486708	NR_003954		KATNBL1P6	-	katanin regulatory subunit B1 like 1 pseudogene 6	pseudo
12810	chr15	58793803	58794302	+	0	NA	intron (NM_001040450, intron 2 of 8)	L2|LINE|L2	22750	NM_001040453	54629	Hs.591122	NM_019092	ENSG00000128923	MINDY2	FAM63B	MINDY lysine 48 deubiquitinase 2	protein-coding
917	chr16	49696325	49696824	+	0	NA	intron (NM_001271620, intron 3 of 7)	intron (NM_001271620, intron 3 of 7)	-32250	NM_001330533	23090	Hs.443715	NM_015069	ENSG00000102935	ZNF423	Ebfaz|JBTS19|NPHP14|OAZ|Roaz|ZFP423|Zfp104|hOAZ	zinc finger protein 423	protein-coding
5840	chr3	130470135	130470634	+	0	NA	intron (NM_001278298, intron 38 of 40)	intron (NM_001278298, intron 38 of 40)	-89950	NM_001102608	131873	Hs.591282	NM_001102608	ENSG00000206384	COL6A6	-	collagen type VI alpha 6 chain	protein-coding
26324	chr5	77540176	77540675	+	0	NA	Intergenic	Intergenic	-48109	NM_018268	55255	Hs.482573	NM_018268	ENSG00000164253	WDR41	MSTP048	WD repeat domain 41	protein-coding
10346	chr3	45167455	45167954	+	0	NA	Intergenic	LTR33|LTR|ERVL	-21282	NM_178181	64866	Hs.476093	NM_022842	ENSG00000163814	CDCP1	CD318|SIMA135|TRASK	CUB domain containing protein 1	protein-coding
26044	chr6	53188341	53188840	+	0	NA	Intergenic	MER44C|DNA|TcMar-Tigger	-39749	NM_003643	8521	Hs.23589	NM_003643	ENSG00000137270	GCM1	GCMA|hGCMa	glial cells missing transcription factor 1	protein-coding
14971	chrX	150036042	150036541	+	0	NA	Intergenic	Intergenic	97743	NR_027456	100272228	Hs.496916	NR_027456	ENSG00000235703	LINC00894	-	long intergenic non-protein coding RNA 894	ncRNA
21246	chr6	106685791	106686290	+	0	NA	Intergenic	HERV16-int|LTR|ERVL	-9445	NR_149100	105377926	Hs.635821	NR_149100	ENSG00000229654	LINC02526	-	long intergenic non-protein coding RNA 2526	ncRNA
17249	chr7	26212867	26213816	+	0	NA	3' UTR (NM_007276, exon 6 of 6)	3' UTR (NM_007276, exon 6 of 6)	11596	NM_016587	11335	Hs.381189	NM_007276	ENSG00000122565	CBX3	HECH|HP1-GAMMA|HP1Hs-gamma	chromobox 3	protein-coding
26651	chr11	113446854	113447353	+	0	NA	intron (NM_016574, intron 1 of 6)	intron (NM_016574, intron 1 of 6)	2985	NR_036183	100422855		NR_036183	ENSG00000265140	MIR4301	-	microRNA 4301	ncRNA
19353	chr17	47225298	47225797	+	0	NA	Intergenic	Intergenic	16199	NM_002476	4635	Hs.463300	NM_002476	ENSG00000198336	MYL4	ALC1|AMLC|GT1|PRO1957	myosin light chain 4	protein-coding
28728	chr9	77659725	77660224	+	0	NA	Intergenic	(TGGAA)n|Simple_repeat|Simple_repeat	-11652	NM_004297	9630	Hs.657795	NM_004297	ENSG00000156049	GNA14	-	G protein subunit alpha 14	protein-coding
14665	chr3	155424119	155424618	+	0	NA	Intergenic	Intergenic	-61435	NR_146955	100874036	Hs.128933	NR_146955	ENSG00000242925	PLCH1-AS2	-	PLCH1 antisense RNA 2	ncRNA
274	chr3	87333283	87333782	+	0	NA	Intergenic	MER57F|LTR|ERV1	-56948	NM_001122757	5449	Hs.591654	NM_000306	ENSG00000064835	POU1F1	CPHD1|GHF-1|PIT1|POU1F1a|Pit-1	POU class 1 homeobox 1	protein-coding
13972	chr8	80659878	80660377	+	0	NA	intron (NM_001033723, intron 6 of 8)	L1MC5|LINE|L1	173901	NM_001105539	65986	Hs.591868	NM_023929	ENSG00000205189	ZBTB10	RINZF	zinc finger and BTB domain containing 10	protein-coding
12084	chr1	98326043	98326542	+	0	NA	Intergenic	AluJr4|SINE|Alu	115581	NR_046088	729987	Hs.683961	NR_046088	ENSG00000226053	LINC01776	-	long intergenic non-protein coding RNA 1776	ncRNA
14854	chr6	42674221	42674720	+	0	NA	intron (NM_015255, intron 38 of 46)	MIRc|SINE|MIR	48127	NM_000322	5961	Hs.654489	NM_000322	ENSG00000112619	PRPH2	AOFMD|AVMD|CACD2|DS|MDBS1|PRPH|RDS|RP7|TSPAN22|rd2	peripherin 2	protein-coding
15146	chr6	45398381	45398880	+	0	NA	intron (NM_001015051, intron 2 of 7)	intron (NM_001015051, intron 2 of 7)	-20696	NM_181356	8464	Hs.368325	NM_003599	ENSG00000196284	SUPT3H	SPT3|SPT3L	SPT3 homolog, SAGA and STAGA complex component	protein-coding
1397	chr1	201916502	201917001	+	0	NA	intron (NM_012134, intron 1 of 2)	intron (NM_012134, intron 1 of 2)	28074	NM_198149	149345	Hs.632471	NM_198149	ENSG00000198892	SHISA4	C1orf40|TMEM58	shisa family member 4	protein-coding
3113	chr7	36526866	36527365	+	0	NA	intron (NM_001177507, intron 18 of 19)	intron (NM_001177507, intron 18 of 19)	73005	NR_046764	100874264	Hs.690994	NR_046764	ENSG00000230539	AOAH-IT1	-	AOAH intronic transcript 1	ncRNA
22555	chr7	91408680	91409179	+	0	NA	Intergenic	Intergenic	144496	NM_003505	8321	Hs.94234	NM_003505	ENSG00000157240	FZD1	-	frizzled class receptor 1	protein-coding
24986	chr1	236378180	236378679	+	0	NA	Intergenic	L1MCa|LINE|L1	-15857	NM_145861	128178	Hs.352224	NM_080738	ENSG00000186197	EDARADD	ECTD11A|ECTD11B|ED3|EDA3	EDAR associated death domain	protein-coding
17746	chr4	151434376	151434875	+	0	NA	intron (NM_001348694, intron 1 of 12)	intron (NM_001348694, intron 1 of 12)	25449	NM_001348694	729830	Hs.633810	NM_001109977	ENSG00000164142	FAM160A1	-	family with sequence similarity 160 member A1	protein-coding
21092	chr4	72860767	72861266	+	0	NA	Intergenic	Intergenic	208700	NM_001297732	285521	Hs.356697	NM_173827	ENSG00000163626	COX18	COX18HS	cytochrome c oxidase assembly factor COX18	protein-coding
23178	chr4	140646406	140646905	+	0	NA	intron (NM_015130, intron 13 of 20)	intron (NM_015130, intron 13 of 20)	-3575	NR_077215	644962	Hs.676500	NR_077215		TNRC18P1	-	trinucleotide repeat containing 18 pseudogene 1	pseudo
15639	chr1	218479793	218480292	+	0	NA	intron (NR_031644, intron 2 of 6)	intron (NR_031644, intron 2 of 6)	-30053	NR_146760	440714	Hs.146774	NR_146760	ENSG00000228208	C1orf143	-	chromosome 1 open reading frame 143 (putative)	ncRNA
23628	chr9	112233720	112234219	+	0	NA	intron (NM_001244896, intron 7 of 12)	intron (NM_001244896, intron 7 of 12)	-58672	NM_001282643	64420	Hs.494827	NM_022486	ENSG00000106868	SUSD1	-	sushi domain containing 1	protein-coding
2109	chr10	95229590	95230089	+	0	NA	TTS (NM_207321)	TTS (NM_207321)	35639	NM_207321	142827	Hs.134229	NM_207321	ENSG00000173124	ACSM6	C10orf129|bA310E22.3	acyl-CoA synthetase medium chain family member 6	protein-coding
21749	chr4	119570333	119570832	+	0	NA	intron (NM_033437, intron 3 of 20)	intron (NM_033437, intron 3 of 20)	57155	NM_033430	8654	Hs.647971	NM_001083	ENSG00000138735	PDE5A	CGB-PDE|CN5A|PDE5	phosphodiesterase 5A	protein-coding
22197	chr3	175655285	175655784	+	0	NA	intron (NM_207015, intron 11 of 13)	intron (NM_207015, intron 11 of 13)	120799	NR_046714	100874245	Hs.614827	NR_046714		NAALADL2-AS1	-	NAALADL2 antisense RNA 1	ncRNA
525	chr10	113304644	113305143	+	0	NA	Intergenic	Intergenic	175622	NM_001349870	6934	Hs.593995	NM_030756	ENSG00000148737	TCF7L2	TCF-4|TCF4	transcription factor 7 like 2	protein-coding
6475	chr12	67714655	67715154	+	0	NA	intron (NR_110063, intron 4 of 4)	intron (NR_110063, intron 4 of 4)	14571	NR_110063	101927901	Hs.369609	NR_110063	ENSG00000255970	LINC02421	-	long intergenic non-protein coding RNA 2421	ncRNA
