PeakID (cmd=annotatePeaks.pl gain_I315RvI315X.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
67	chr2	9558993	9559492	+	0	NA	Intergenic	MLT1F2|LTR|ERVL-MaLR	-3412	NM_003183	6868	Hs.404914	NM_003183	ENSG00000151694	ADAM17	ADAM18|CD156B|CSVP|NISBD|NISBD1|TACE	ADAM metallopeptidase domain 17	protein-coding
184	chr12	128797345	128797844	+	0	NA	intron (NM_145648, intron 7 of 7)	intron (NM_145648, intron 7 of 7)	26364	NM_145648	121260	Hs.507260	NM_145648	ENSG00000139370	SLC15A4	FP12591|PHT1|PTR4	solute carrier family 15 member 4	protein-coding
66	chr2	53509863	53510362	+	0	NA	Intergenic	Intergenic	-257671	NM_001346127	494143	Hs.585944	NM_001008708	ENSG00000143942	CHAC2	GCG1	ChaC cation transport regulator homolog 2	protein-coding
121	chr19	16823055	16823554	+	0	NA	Intergenic	MER41A|LTR|ERV1	-6094	NM_001297595	23309	Hs.13999	NM_015260	ENSG00000127511	SIN3B	-	SIN3 transcription regulator family member B	protein-coding
245	chr16	2795710	2796209	+	0	NA	TTS (NR_145775)	TTS (NR_145775)	573	NR_145775	109616997		NR_145775	ENSG00000221719	SNORA3C	-	small nucleolar RNA, H/ACA box 3C	snoRNA
50	chr4	128386950	128387449	+	0	NA	Intergenic	Intergenic	-40817	NR_125882	100507487	Hs.549644	NR_125882	ENSG00000251432	LINC02615	-	long intergenic non-protein coding RNA 2615	ncRNA
214	chr22	35629824	35630323	+	0	NA	Intergenic	G-rich|Low_complexity|Low_complexity	-6719	NM_203377	4151	Hs.517586	NM_005368	ENSG00000198125	MB	PVALB|myoglobgin	myoglobin	protein-coding
232	chr19	6580246	6580745	+	0	NA	Intergenic	AluSx|SINE|Alu	10655	NM_001252	970	Hs.501497	NM_001252	ENSG00000125726	CD70	CD27-L|CD27L|CD27LG|LPFS3|TNFSF7|TNLG8A	CD70 molecule	protein-coding
223	chr2	9565385	9565884	+	0	NA	Intergenic	Intergenic	-9804	NM_003183	6868	Hs.404914	NM_003183	ENSG00000151694	ADAM17	ADAM18|CD156B|CSVP|NISBD|NISBD1|TACE	ADAM metallopeptidase domain 17	protein-coding
4	chr1	235910354	235910853	+	0	NA	Intergenic	Intergenic	-26890	NR_102436	1130	Hs.532411	NM_000081	ENSG00000143669	LYST	CHS|CHS1	lysosomal trafficking regulator	protein-coding
31	chr6	110537170	110537669	+	0	NA	Intergenic	Intergenic	-60806	NM_033125	85413	Hs.520319	NM_033125	ENSG00000004809	SLC22A16	CT2|FLIPT2|HEL-S-18|OAT6|OCT6|OKB1|dJ261K5.1	solute carrier family 22 member 16	protein-coding
80	chr8	26457770	26458269	+	0	NA	Intergenic	Intergenic	55853	NM_007257	10687	Hs.591838	NM_007257	ENSG00000240694	PNMA2	MA2|MM2|RGAG2	PNMA family member 2	protein-coding
277	chr19	16801530	16802029	+	0	NA	intron (NM_001007525, intron 17 of 18)	MSTB1|LTR|ERVL-MaLR	-27619	NM_001297595	23309	Hs.13999	NM_015260	ENSG00000127511	SIN3B	-	SIN3 transcription regulator family member B	protein-coding
72	chr4	151744606	151745105	+	0	NA	intron (NM_001363341, intron 2 of 11)	intron (NM_001363341, intron 2 of 11)	16152	NM_004564	5188	Hs.119316	NM_004564	ENSG00000059691	GATB	HSPC199|PET112|PET112L	glutamyl-tRNA amidotransferase subunit B	protein-coding
19	chr15	90165607	90166106	+	0	NA	Intergenic	Intergenic	-19064	NM_001324030	10509	Hs.474935	NM_020210	ENSG00000185033	SEMA4B	SEMAC|SemC	semaphorin 4B	protein-coding
9	chr2	233974531	233975030	+	0	NA	intron (NM_024080, intron 17 of 25)	intron (NM_024080, intron 17 of 25)	57407	NM_024080	79054	Hs.366053	NM_024080	ENSG00000144481	TRPM8	LTRPC6|LTrpC-6|TRPP8|trp-p8	transient receptor potential cation channel subfamily M member 8	protein-coding
68	chr14	85528458	85529446	+	0	NA	Intergenic	Intergenic	-1073	NR_144386	23768	Hs.533710	NM_013231	ENSG00000185070	FLRT2	-	fibronectin leucine rich transmembrane protein 2	protein-coding
164	chr12	97267740	97268239	+	0	NA	Intergenic	Intergenic	-194787	NR_152618	196475	Hs.652568	NR_024037	ENSG00000255794	RMST	LINC00054|NCRMS|NCRNA00054	rhabdomyosarcoma 2 associated transcript	ncRNA
179	chr7	55132676	55133175	+	0	NA	intron (NM_001346900, intron 1 of 27)	intron (NM_001346900, intron 1 of 27)	23086	NM_001346900	1956	Hs.488293	NM_005228	ENSG00000146648	EGFR	ERBB|ERBB1|HER1|NISBD2|PIG61|mENA	epidermal growth factor receptor	protein-coding
252	chr3	113830535	113831034	+	0	NA	Intergenic	L1MC4|LINE|L1	-8004	NM_017577	54762	Hs.24583	NM_017577	ENSG00000178075	GRAMD1C	-	GRAM domain containing 1C	protein-coding
22	chr6	169070448	169070947	+	0	NA	Intergenic	Intergenic	2911	NR_134619	102724357	Hs.129310	NR_134619	ENSG00000234519	LOC102724357	-	uncharacterized LOC102724357	ncRNA
157	chr7	102125153	102125652	+	0	NA	intron (NM_001913, intron 8 of 22)	intron (NM_001913, intron 8 of 22)	-159739	NM_020979	10603	Hs.489448	NM_020979	ENSG00000160999	SH2B2	APS	SH2B adaptor protein 2	protein-coding
108	chr2	223262926	223263425	+	0	NA	Intergenic	L2a|LINE|L2	211245	NM_080671	23704	Hs.348522	NM_080671	ENSG00000152049	KCNE4	MIRP3	potassium voltage-gated channel subfamily E regulatory subunit 4	protein-coding
144	chr12	97275898	97276397	+	0	NA	Intergenic	MIR3|SINE|MIR	-186629	NR_152618	196475	Hs.652568	NR_024037	ENSG00000255794	RMST	LINC00054|NCRMS|NCRNA00054	rhabdomyosarcoma 2 associated transcript	ncRNA
172	chr2	53453321	53453820	+	0	NA	Intergenic	Intergenic	-314213	NM_001346127	494143	Hs.585944	NM_001008708	ENSG00000143942	CHAC2	GCG1	ChaC cation transport regulator homolog 2	protein-coding
259	chr2	25078364	25078863	+	0	NA	intron (NM_001319099, intron 1 of 22)	intron (NM_001319099, intron 1 of 22)	36150	NM_001319099	22979	Hs.4892	NM_014971	ENSG00000084710	EFR3B	KIAA0953	EFR3 homolog B	protein-coding
115	chr9	114551855	114552354	+	0	NA	Intergenic	Intergenic	-35665	NM_004888	9550	Hs.388654	NM_004888	ENSG00000136888	ATP6V1G1	ATP6G|ATP6G1|ATP6GL|ATP6J|Vma10	ATPase H+ transporting V1 subunit G1	protein-coding
64	chr20	35327234	35327733	+	0	NA	intron (NM_001184977, intron 5 of 7)	MIRc|SINE|MIR	-35058	NM_178468	128876	Hs.592149	NM_178468	ENSG00000125998	FAM83C	C20orf128|dJ614O4.7	family with sequence similarity 83 member C	protein-coding
193	chr5	170151070	170151569	+	0	NA	Intergenic	Intergenic	45422	NM_012188	2299	Hs.87236	NM_012188	ENSG00000168269	FOXI1	FKH10|FKHL10|FREAC-6|FREAC6|HFH-3|HFH3	forkhead box I1	protein-coding
239	chr4	135382176	135382675	+	0	NA	Intergenic	LTR28C|LTR|ERV1	-258866	NR_147187	105377439	Hs.570727	NR_147187		LINC02485	-	long intergenic non-protein coding RNA 2485	ncRNA
265	chr18	58628889	58629388	+	0	NA	promoter-TSS (NM_052947)	promoter-TSS (NM_052947)	-47	NM_052947	115701	Hs.628152	NM_052947	ENSG00000198796	ALPK2	HAK	alpha kinase 2	protein-coding
206	chr5	169350757	169351256	+	0	NA	Intergenic	Intergenic	-49867	NM_003062	6586	Hs.552087	NM_003062	ENSG00000184347	SLIT3	MEGF5|SLIL2|SLIT1|Slit-3|slit2	slit guidance ligand 3	protein-coding
120	chr16	11079621	11080120	+	0	NA	intron (NM_015226, intron 18 of 22)	intron (NM_015226, intron 18 of 22)	135306	NM_015226	23274	Hs.35490	NM_015226	ENSG00000038532	CLEC16A	Gop-1|KIAA0350	C-type lectin domain containing 16A	protein-coding
137	chr1	183808263	183808762	+	0	NA	intron (NM_001297671, intron 2 of 17)	intron (NM_001297671, intron 2 of 17)	3392	NM_001297671	23179	Hs.497148	NM_015149	ENSG00000143344	RGL1	RGL	ral guanine nucleotide dissociation stimulator like 1	protein-coding
52	chr20	35305649	35306148	+	0	NA	intron (NM_001184977, intron 7 of 7)	intron (NM_001184977, intron 7 of 7)	-13473	NM_178468	128876	Hs.592149	NM_178468	ENSG00000125998	FAM83C	C20orf128|dJ614O4.7	family with sequence similarity 83 member C	protein-coding
196	chr14	85239479	85239978	+	0	NA	Intergenic	Intergenic	-32204	NR_145983	26843		NR_145983		SNORD3P3	RNU3P3|U3|U3.5|u3.7	small nucleolar RNA, C/D box 3 pseudogene 3	snoRNA
99	chr6	3803590	3804089	+	0	NA	Intergenic	Intergenic	-45534	NM_012135	26240	Hs.140944	NM_012135	ENSG00000145945	FAM50B	D6S2654E|X5L	family with sequence similarity 50 member B	protein-coding
33	chr10	17512331	17512830	+	0	NA	Intergenic	MamGypLTR3a|LTR|Gypsy	-57985	NM_001004470	338596	Hs.677766	NM_001004470	ENSG00000148488	ST8SIA6	SIA8F|SIAT8-F|SIAT8F|ST8SIA-VI|ST8SiaVI	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6	protein-coding
101	chr6	38261933	38262432	+	0	NA	intron (NM_052893, intron 9 of 11)	intron (NM_052893, intron 9 of 11)	-219414	NR_144472	101929425	Hs.665280	NR_144472	ENSG00000226533	BTBD9-AS1	-	BTBD9 antisense RNA 1	ncRNA
203	chr9	94867881	94868380	+	0	NA	intron (NM_032823, intron 5 of 14)	intron (NM_032823, intron 5 of 14)	58168	NR_031755	100313780		NR_031755	ENSG00000252153	MIR2278	mir-2278	microRNA 2278	ncRNA
212	chr4	173346184	173346683	+	0	NA	Intergenic	Intergenic	-12075	NM_002129	3148	Hs.434953	NM_002129	ENSG00000164104	HMGB2	HMG2	high mobility group box 2	protein-coding
234	chr9	38682660	38683159	+	0	NA	Intergenic	MER21C|LTR|ERVL	61821	NR_027294	158228	Hs.632652	NR_027294		FAM201A	C9orf122	family with sequence similarity 201 member A	ncRNA
275	chr6	157764461	157764960	+	0	NA	Intergenic	Intergenic	-58536	NM_016224	51429	Hs.191213	NM_016224	ENSG00000130340	SNX9	SDP1|SH3PX1|SH3PXD3A|WISP	sorting nexin 9	protein-coding
1	chr2	28274809	28275308	+	0	NA	intron (NM_199193, intron 11 of 13)	intron (NM_199193, intron 11 of 13)	35401	NR_038319	100505716	Hs.679092	NR_038319	ENSG00000223522	LOC100505716	-	uncharacterized LOC100505716	ncRNA
182	chr3	55191954	55192453	+	0	NA	Intergenic	Intergenic	14031	NR_147142	105377096	Hs.640507	NR_147142	ENSG00000243572	LINC02017	-	long intergenic non-protein coding RNA 2017	ncRNA
49	chr19	42113529	42114028	+	0	NA	intron (NM_001207026, intron 5 of 12)	intron (NM_001207026, intron 5 of 12)	18668	NM_001247994	5452	Hs.147381	NM_002698	ENSG00000028277	POU2F2	OCT2|OTF2|Oct-2	POU class 2 homeobox 2	protein-coding
149	chr12	52181654	52182153	+	0	NA	intron (NM_182507, intron 2 of 8)	intron (NM_182507, intron 2 of 8)	10111	NM_001081492	144501	Hs.140978	NM_182507	ENSG00000167767	KRT80	KB20	keratin 80	protein-coding
254	chr17	78592254	78592753	+	0	NA	Intergenic	Intergenic	-15109	NM_173628	8632	Hs.375975	NM_003727	ENSG00000187775	DNAH17	DNAHL1|DNEL2	dynein axonemal heavy chain 17	protein-coding
82	chr9	94912838	94913337	+	0	NA	intron (NM_032823, intron 5 of 14)	intron (NM_032823, intron 5 of 14)	32467	NR_147613	101928119	Hs.630906	NR_147613		LOC101928119	-	uncharacterized LOC101928119	ncRNA
162	chr20	1417207	1417706	+	0	NA	Intergenic	Intergenic	-24284	NM_054014	2280	Hs.471933	NM_000801	ENSG00000088832	FKBP1A	FKBP-12|FKBP-1A|FKBP1|FKBP12|PKC12|PKCI2|PPIASE	FKBP prolyl isomerase 1A	protein-coding
70	chr1	53413176	53413675	+	0	NA	Intergenic	Intergenic	26595	NR_002314	163742	Hs.99394	NR_002314	ENSG00000236253	SLC25A3P1	-	solute carrier family 25 member 3 pseudogene 1	pseudo
35	chr10	97149084	97149583	+	0	NA	intron (NM_003061, intron 4 of 36)	intron (NM_003061, intron 4 of 36)	36626	NM_003061	6585	Hs.632082	NM_003061	ENSG00000187122	SLIT1	MEGF4|SLIL1|SLIT-1|SLIT3	slit guidance ligand 1	protein-coding
247	chr7	7438845	7439344	+	0	NA	intron (NM_001037763, intron 21 of 34)	intron (NM_001037763, intron 21 of 34)	96779	NM_001037763	340267	Hs.491104	NM_001037763	ENSG00000215018	COL28A1	COL28	collagen type XXVIII alpha 1 chain	protein-coding
148	chr16	87047223	87047722	+	0	NA	Intergenic	Intergenic	-10312	NR_126008	440390	Hs.513789	NR_126008	ENSG00000232190	LINC02181	-	long intergenic non-protein coding RNA 2181	ncRNA
58	chr3	195119455	195119954	+	0	NA	intron (NM_152531, intron 3 of 3)	intron (NM_152531, intron 3 of 3)	14876	NR_036089	100422926		NR_036089	ENSG00000265333	MIR3137	-	microRNA 3137	ncRNA
197	chr17	62819791	62820290	+	0	NA	intron (NR_135634, intron 1 of 1)	intron (NR_135634, intron 1 of 1)	11538	NR_135634	101927877	Hs.434615	NR_135634	ENSG00000265000	MARCH10-DT	-	MARCH10 divergent transcript	ncRNA
104	chr5	173824141	173824640	+	0	NA	Intergenic	Intergenic	-33448	NR_108028	101928154	Hs.366725	NR_108028		LINC01485	-	long intergenic non-protein coding RNA 1485	ncRNA
27	chr9	94919406	94919905	+	0	NA	intron (NM_032823, intron 5 of 14)	intron (NM_032823, intron 5 of 14)	25899	NR_147613	101928119	Hs.630906	NR_147613		LOC101928119	-	uncharacterized LOC101928119	ncRNA
231	chr3	27431077	27431576	+	0	NA	non-coding (NR_135544, exon 7 of 25)	non-coding (NR_135544, exon 7 of 25)	25452	NM_003615	9497	Hs.250072	NM_003615	ENSG00000033867	SLC4A7	NBC2|NBC3|NBCN1|SBC2|SLC4A6	solute carrier family 4 member 7	protein-coding
86	chr21	31559190	31559689	+	0	NA	promoter-TSS (NM_001353692)	promoter-TSS (NM_001353692)	206	NM_001321023	150051	Hs.708976	NM_001321023		LOC150051	-	uncharacterized LOC150051	protein-coding
133	chr10	113073510	113074009	+	0	NA	intron (NM_001198528, intron 4 of 14)	intron (NM_001198528, intron 4 of 14)	28404	NR_132769	106635520		NR_132769		SNORA87	-	small nucleolar RNA, H/ACA box 87	snoRNA
122	chr10	119190295	119190794	+	0	NA	Intergenic	L2b|LINE|L2	-11732	NR_126106	10935	Hs.523302	NM_006793	ENSG00000165672	PRDX3	AOP-1|AOP1|HBC189|MER5|PRO1748|SP-22|prx-III	peroxiredoxin 3	protein-coding
251	chr3	140116889	140117388	+	0	NA	intron (NM_022131, intron 1 of 16)	intron (NM_022131, intron 1 of 16)	181953	NM_022131	64084	Hs.158529	NM_022131	ENSG00000158258	CLSTN2	ALC-GAMMA|CDHR13|CS2|CSTN2|alcagamma	calsyntenin 2	protein-coding
88	chr8	20310816	20311315	+	0	NA	Intergenic	Intergenic	-7102	NM_021020	11178	Hs.521432	NM_021020	ENSG00000061337	LZTS1	F37|FEZ1	leucine zipper tumor suppressor 1	protein-coding
153	chr10	125084172	125084671	+	0	NA	intron (NM_001321013, intron 1 of 9)	intron (NM_001321013, intron 1 of 9)	-51551	NR_036178	100423041		NR_036178	ENSG00000264572	MIR4296	-	microRNA 4296	ncRNA
60	chr11	44421193	44421692	+	0	NA	Intergenic	Intergenic	-111303	NM_021926	60529	Hs.436055	NM_021926	ENSG00000052850	ALX4	CRS5|FND2	ALX homeobox 4	protein-coding
56	chr6	110492527	110493026	+	0	NA	Intergenic	Intergenic	-16163	NM_033125	85413	Hs.520319	NM_033125	ENSG00000004809	SLC22A16	CT2|FLIPT2|HEL-S-18|OAT6|OCT6|OKB1|dJ261K5.1	solute carrier family 22 member 16	protein-coding
246	chrX	39755673	39756172	+	0	NA	Intergenic	Intergenic	-81639	NR_039763	100616251		NR_039763	ENSG00000263972	MIR1587	-	microRNA 1587	ncRNA
170	chr8	88327421	88327920	+	0	NA	promoter-TSS (NM_005941)	promoter-TSS (NM_005941)	-187	NM_005941	4325	Hs.492187	NM_005941	ENSG00000156103	MMP16	C8orf57|MMP-X2|MT-MMP2|MT-MMP3|MT3-MMP	matrix metallopeptidase 16	protein-coding
28	chr16	75305296	75305795	+	0	NA	intron (NM_006324, intron 5 of 6)	MIR|SINE|MIR	-37538	NM_001170715	9564	Hs.479747	NM_014567	ENSG00000050820	BCAR1	CAS|CAS1|CASS1|CRKAS|P130Cas	BCAR1 scaffold protein, Cas family member	protein-coding
160	chr9	42431013	42431512	+	0	NA	Intergenic	Intergenic	138087	NR_126050	103908605	Hs.721139	NR_126050		LOC103908605	-	uncharacterized LOC103908605	ncRNA
238	chr19	42468309	42468808	+	0	NA	intron (NR_073179, intron 1 of 1)	intron (NR_073179, intron 1 of 1)	-25612	NM_198477	284340	Hs.445586	NM_198477	ENSG00000189377	CXCL17	DMC|Dcip1|UNQ473|VCC-1|VCC1	C-X-C motif chemokine ligand 17	protein-coding
57	chr14	100439253	100439752	+	0	NA	intron (NM_001350949, intron 2 of 6)	intron (NM_001350949, intron 2 of 6)	63017	NM_024515	79446	Hs.497599	NM_024515	ENSG00000176473	WDR25	C14orf67	WD repeat domain 25	protein-coding
156	chr2	38146810	38147309	+	0	NA	intron (NR_027252, intron 2 of 2)	L2a|LINE|L2	15954	NR_027252	285154	Hs.353894	NM_173652	ENSG00000232973	CYP1B1-AS1	C2orf58	CYP1B1 antisense RNA 1	ncRNA
11	chr10	85642718	85643217	+	0	NA	intron (NM_017551, intron 13 of 15)	intron (NM_017551, intron 13 of 15)	65236	NR_038986	100507470	Hs.585483	NR_038986	ENSG00000234942	GRID1-AS1	-	GRID1 antisense RNA 1	ncRNA
95	chr2	74740692	74741191	+	0	NA	Intergenic	Intergenic	86694	NR_073398	10505	Hs.25887	NM_004263	ENSG00000135622	SEMA4F	M-SEMA|PRO2353|S4F|SEMAM|SEMAW|m-Sema-M	ssemaphorin 4F	protein-coding
225	chr3	36677355	36677854	+	0	NA	Intergenic	Intergenic	62257	NM_033403	85443	Hs.631907	NM_033403	ENSG00000163673	DCLK3	CLR|DCAMKL3|DCDC3C|DCK3	doublecortin like kinase 3	protein-coding
141	chr15	57485790	57486289	+	0	NA	intron (NM_032866, intron 8 of 18)	(AGTCAGG)n|Simple_repeat|Simple_repeat	-105865	NM_001285900	145781	Hs.437256	NM_001018090	ENSG00000137878	GCOM1	GRINL1A|Gcom2|MYZAP|MYZAP-POLR2M|gcom	GRINL1A complex locus 1	protein-coding
243	chr19	32373728	32374227	+	0	NA	intron (NM_001136156, intron 5 of 6)	Tigger6a|DNA|TcMar-Tigger	28367	NM_001136156	22847	Hs.205392	NM_014910	ENSG00000168813	ZNF507	-	zinc finger protein 507	protein-coding
43	chr10	29658836	29659335	+	0	NA	intron (NM_001323599, intron 2 of 38)	intron (NM_001323599, intron 2 of 38)	-24114	NM_021738	6840	Hs.499209	NM_003174	ENSG00000197321	SVIL	-	supervillin	protein-coding
45	chr1	185500057	185500556	+	0	NA	Intergenic	ERVL-E-int|LTR|ERVL	128182	NR_110793	101929093	Hs.535227	NR_110793	ENSG00000228309	LINC01350	GS1-204I12.1	long intergenic non-protein coding RNA 1350	ncRNA
207	chr17	15645647	15646146	+	0	NA	intron (NM_001348126, intron 4 of 8)	intron (NM_001348126, intron 4 of 8)	-26192	NM_006382	374286	Hs.548021	NM_006382	ENSG00000241322	CDRT1	C170RF1|C17ORF1|C17ORF1A|FBXW10B|FBXW10P1|HREP|SM25H2	CMT1A duplicated region transcript 1	protein-coding
87	chr6	154554974	154555473	+	0	NA	Intergenic	Intergenic	-44538	NM_001368117	154043	Hs.16064	NM_173515	ENSG00000153721	CNKSR3	CNK3|CNK3/IPCEF1|MAGI1	CNKSR family member 3	protein-coding
109	chr6	110534811	110535310	+	0	NA	Intergenic	LTR8|LTR|ERV1	-58447	NM_033125	85413	Hs.520319	NM_033125	ENSG00000004809	SLC22A16	CT2|FLIPT2|HEL-S-18|OAT6|OCT6|OKB1|dJ261K5.1	solute carrier family 22 member 16	protein-coding
26	chr15	92803981	92804480	+	0	NA	Intergenic	Intergenic	8746	NR_033769	728619	Hs.684129	NR_033769		ASB9P1	-	ankyrin repeat and SOCS box containing 9 pseudogene 1	pseudo
180	chr1	94527403	94527902	+	0	NA	Intergenic	Intergenic	14107	NM_001993	2152	Hs.62192	NM_001993	ENSG00000117525	F3	CD142|TF|TFA	coagulation factor III, tissue factor	protein-coding
258	chr1	211036807	211037306	+	0	NA	intron (NM_002238, intron 5 of 10)	intron (NM_002238, intron 5 of 10)	96318	NR_046784	100874296	Hs.737764	NR_046784		KCNH1-IT1	-	KCNH1 intronic transcript 1	ncRNA
39	chr11	106397804	106398746	+	0	NA	Intergenic	Intergenic	146868	NR_120551	101928535	Hs.409078	NR_120551	ENSG00000254811	LOC101928535	-	uncharacterized LOC101928535	ncRNA
210	chr20	4135632	4136131	+	0	NA	Intergenic	Intergenic	-12898	NM_001270691	54498	Hs.433337	NM_175839	ENSG00000088826	SMOX	C20orf16|PAO|PAO-1|PAO1|PAOH|PAOH1|SMO	spermine oxidase	protein-coding
74	chr6	37240020	37240519	+	0	NA	intron (NM_145316, intron 1 of 3)	MLT1F2|LTR|ERVL-MaLR	17330	NM_145316	221468	Hs.520101	NM_145316	ENSG00000172738	TMEM217	C6orf128|dJ355M6.2	transmembrane protein 217	protein-coding
136	chr5	173766302	173766801	+	0	NA	Intergenic	Plat_L3|LINE|CR1	-20342	NR_108027	101928136	Hs.449267	NR_108027	ENSG00000253686	LINC01484	-	long intergenic non-protein coding RNA 1484	ncRNA
93	chr14	77303574	77304073	+	0	NA	intron (NM_013382, intron 4 of 20)	L2a|LINE|L2	17059	NM_013382	29954	Hs.132989	NM_013382	ENSG00000009830	POMT2	LGMD2N|LGMDR14|MDDGA2|MDDGB2|MDDGC2	protein O-mannosyltransferase 2	protein-coding
10	chr8	142699614	142700113	+	0	NA	promoter-TSS (NM_001160354)	promoter-TSS (NM_001160354)	-248	NM_001160355	54742	Hs.69517	NM_017527	ENSG00000160886	LY6K	CT97|HSJ001348|URLC10|ly-6K	lymphocyte antigen 6 family member K	protein-coding
235	chr4	26022518	26023017	+	0	NA	Intergenic	Intergenic	108575	NM_001145432	389203	Hs.479386	NM_001145432	ENSG00000250317	SMIM20	C4orf52|MITRAC7|PNX	small integral membrane protein 20	protein-coding
269	chr5	75602002	75602501	+	0	NA	non-coding (NR_144315, exon 14 of 14)	non-coding (NR_144315, exon 14 of 14)	-9225	NM_001276713	728780	Hs.370455	NM_001271529	ENSG00000189045	ANKDD1B	-	ankyrin repeat and death domain containing 1B	protein-coding
42	chr2	53475084	53475583	+	0	NA	Intergenic	Intergenic	-292450	NM_001346127	494143	Hs.585944	NM_001008708	ENSG00000143942	CHAC2	GCG1	ChaC cation transport regulator homolog 2	protein-coding
274	chr11	103923283	103923782	+	0	NA	intron (NM_025208, intron 6 of 6)	intron (NM_025208, intron 6 of 6)	73626	NR_039842	100616457		NR_039842	ENSG00000264200	MIR4693	-	microRNA 4693	ncRNA
242	chr10	85643814	85644313	+	0	NA	intron (NM_017551, intron 13 of 15)	intron (NM_017551, intron 13 of 15)	66332	NR_038986	100507470	Hs.585483	NR_038986	ENSG00000234942	GRID1-AS1	-	GRID1 antisense RNA 1	ncRNA
89	chrX	150688973	150689472	+	0	NA	Intergenic	LTR40A1|LTR|ERVL	-3740	NM_001353991	8776	Hs.347187	NM_003828	ENSG00000063601	MTMR1	-	myotubularin related protein 1	protein-coding
228	chr12	52186035	52186534	+	0	NA	intron (NM_182507, intron 1 of 8)	intron (NM_182507, intron 1 of 8)	5730	NM_001081492	144501	Hs.140978	NM_182507	ENSG00000167767	KRT80	KB20	keratin 80	protein-coding
167	chr1	91736936	91737435	+	0	NA	intron (NR_036634, intron 5 of 17)	intron (NR_036634, intron 5 of 17)	148966	NM_003243	7049	Hs.482390	NM_003243	ENSG00000069702	TGFBR3	BGCAN|betaglycan	transforming growth factor beta receptor 3	protein-coding
37	chr20	44018113	44018612	+	0	NA	intron (NM_001098797, intron 3 of 8)	intron (NM_001098797, intron 3 of 8)	72466	NM_001098798	84969	Hs.26608	NM_032883	ENSG00000124191	TOX2	C20orf100|GCX-1|GCX1|dJ1108D11.2|dJ495O3.1	TOX high mobility group box family member 2	protein-coding
217	chr3	172658957	172659456	+	0	NA	intron (NM_001146276, intron 1 of 4)	LTR22C0|LTR|ERVK	51861	NM_001146277	57552	Hs.444099	NM_020792	ENSG00000144959	NCEH1	AADACL1|NCEH	neutral cholesterol ester hydrolase 1	protein-coding
126	chr1	202589137	202589636	+	0	NA	TTS (NM_001197131)	TTS (NM_001197131)	49272	NM_001197131	4660	Hs.444403	NM_002481	ENSG00000077157	PPP1R12B	MYPT2|PP1bp55	protein phosphatase 1 regulatory subunit 12B	protein-coding
92	chr3	14472819	14473318	+	0	NA	intron (NR_103507, intron 9 of 13)	intron (NR_103507, intron 9 of 13)	67274	NM_001080423	80852	Hs.517819	NM_001080423	ENSG00000144596	GRIP2	-	glutamate receptor interacting protein 2	protein-coding
59	chr15	78988496	78988995	+	0	NA	intron (NM_001145648, intron 22 of 26)	L3|LINE|CR1	9856	NR_148998	100129540	Hs.459035	NR_148998	ENSG00000177699	LOC100129540	-	uncharacterized LOC100129540	ncRNA
187	chr12	74781488	74781987	+	0	NA	Intergenic	Intergenic	243902	NM_001136262	552889	Hs.744849	NM_001136262	ENSG00000253719	ATXN7L3B	lnc-SCA7	ataxin 7 like 3B	protein-coding
7	chr1	208111844	208112343	+	0	NA	intron (NM_025179, intron 4 of 31)	intron (NM_025179, intron 4 of 31)	132291	NM_025179	5362	Hs.497626	NM_025179	ENSG00000076356	PLXNA2	OCT|PLXN2	plexin A2	protein-coding
200	chr7	66952534	66953033	+	0	NA	intron (NM_017994, intron 5 of 6)	intron (NM_017994, intron 5 of 6)	31558	NM_017994	55069	Hs.488478	NM_017994	ENSG00000106609	TMEM248	C7orf42	transmembrane protein 248	protein-coding
255	chr13	68711804	68712303	+	0	NA	Intergenic	MER54B|LTR|ERVL	173272	NR_038878	338862		NR_038878	ENSG00000281778	LINC00550	-	long intergenic non-protein coding RNA 550	ncRNA
119	chr1	94698905	94699404	+	0	NA	intron (NR_160779, intron 2 of 5)	L2a|LINE|L2	46746	NR_039620	100616321		NR_039620	ENSG00000263526	MIR378G	-	microRNA 378g	ncRNA
145	chr8	117811116	117811615	+	0	NA	intron (NM_000127, intron 8 of 10)	intron (NM_000127, intron 8 of 10)	109548	NR_145799	109623457		NR_145799		SNORD168	-	small nucleolar RNA, C/D box 168	snoRNA
221	chr18	10131931	10132430	+	0	NA	Intergenic	Intergenic	218164	NM_003574	9218	Hs.165195	NM_003574	ENSG00000101558	VAPA	VAP-33|VAP-A|VAP33|hVAP-33	VAMP associated protein A	protein-coding
132	chr6	149854913	149855412	+	0	NA	intron (NM_032832, intron 1 of 6)	PABL_B|LTR|ERV1	-8336	NR_045126	100652739	Hs.642734	NR_045126	ENSG00000223701	RAET1E-AS1	RAET1G-AS1	RAET1E antisense RNA 1	ncRNA
123	chr3	57060334	57060833	+	0	NA	promoter-TSS (NM_181727)	promoter-TSS (NM_181727)	-81	NM_181727	353324	Hs.129794	NM_181727	ENSG00000186451	SPATA12	SRG5	spermatogenesis associated 12	protein-coding
