PeakID (cmd=annotatePeaks.pl gain_W281PvW281X.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
117	chr5	173455204	173455703	+	0	NA	Intergenic	MLT1F1|LTR|ERVL-MaLR	107998	NR_107023	102465862		NR_107023	ENSG00000274994	MIR8056	hsa-mir-8056	microRNA 8056	ncRNA
186	chr6	47134685	47135184	+	0	NA	Intergenic	Intergenic	-92602	NM_025048	266977	Hs.733762	NM_025048	ENSG00000153292	ADGRF1	GPR110|KPG_012|PGR19|hGPCR36	adhesion G protein-coupled receptor F1	protein-coding
248	chr1	20612189	20612688	+	0	NA	intron (NM_001785, intron 2 of 3)	LTR7C|LTR|ERV1	-21020	NM_032409	65018	Hs.389171	NM_032409	ENSG00000158828	PINK1	BRPK|PARK6	PTEN induced kinase 1	protein-coding
149	chr7	91892626	91893125	+	0	NA	Intergenic	Intergenic	-12173	NM_001301134	7978	Hs.532216	NM_006980	ENSG00000127989	MTERF1	MTERF	mitochondrial transcription termination factor 1	protein-coding
128	chr8	107332368	107332867	+	0	NA	intron (NM_001199859, intron 3 of 8)	intron (NM_001199859, intron 3 of 8)	3898	NM_001314051	284	Hs.369675	NM_001146	ENSG00000154188	ANGPT1	AGP1|AGPT|ANG1	angiopoietin 1	protein-coding
199	chr10	77564979	77565478	+	0	NA	intron (NM_001271519, intron 1 of 28)	intron (NM_001271519, intron 1 of 28)	72580	NM_001014797	3778	Hs.144795	NM_002247	ENSG00000156113	KCNMA1	BKTM|CADEDS|KCa1.1|MaxiK|PNKD3|SAKCA|SLO|SLO-ALPHA|SLO1|bA205K10.1|hSlo|mSLO1	potassium calcium-activated channel subfamily M alpha 1	protein-coding
229	chr20	4135512	4136011	+	0	NA	Intergenic	Intergenic	-13018	NM_001270691	54498	Hs.433337	NM_175839	ENSG00000088826	SMOX	C20orf16|PAO|PAO-1|PAO1|PAOH|PAOH1|SMO	spermine oxidase	protein-coding
238	chr5	124905033	124905532	+	0	NA	Intergenic	Intergenic	-131549	NR_109882	101927421	Hs.121305	NR_109882		LOC101927421	-	uncharacterized LOC101927421	ncRNA
62	chr4	128354365	128354864	+	0	NA	Intergenic	MIR3|SINE|MIR	-66801	NM_006320	10424	Hs.507910	NM_006320	ENSG00000164040	PGRMC2	DG6|PMBP	progesterone receptor membrane component 2	protein-coding
139	chr6	3825847	3826346	+	0	NA	Intergenic	Intergenic	-23277	NM_012135	26240	Hs.140944	NM_012135	ENSG00000145945	FAM50B	D6S2654E|X5L	family with sequence similarity 50 member B	protein-coding
283	chr20	18443824	18444323	+	0	NA	intron (NM_001367611, intron 7 of 20)	intron (NM_001367611, intron 7 of 20)	22957	NM_001367611	55184	Hs.472225	NM_018152	ENSG00000089091	DZANK1	ANKRD64|C20orf12|C20orf84	double zinc ribbon and ankyrin repeat domains 1	protein-coding
34	chr3	4978751	4979250	+	0	NA	promoter-TSS (NM_003670)	promoter-TSS (NM_003670)	-437	NM_003670	8553	Hs.744856	NM_003670	ENSG00000134107	BHLHE40	BHLHB2|Clast5|DEC1|HLHB2|SHARP-2|SHARP2|STRA13|Stra14	basic helix-loop-helix family member e40	protein-coding
132	chr22	24506865	24507364	+	0	NA	intron (NM_016327, intron 3 of 9)	intron (NM_016327, intron 3 of 9)	11782	NM_016327	51733	Hs.731656	NM_016327	ENSG00000100024	UPB1	BUP1	beta-ureidopropionase 1	protein-coding
192	chr3	171950356	171950855	+	0	NA	Intergenic	Tigger15a|DNA|TcMar-Tigger	-49865	NR_046852	100874219	Hs.730556	NR_046852	ENSG00000234717	TMEM212-AS1	-	TMEM212 antisense RNA 1	ncRNA
222	chr10	90930337	90930836	+	0	NA	Intergenic	Intergenic	-9311	NM_014391	27063	Hs.448589	NM_014391	ENSG00000148677	ANKRD1	ALRP|C-193|CARP|CVARP|MCARP|bA320F15.2	ankyrin repeat domain 1	protein-coding
33	chr11	106399074	106399573	+	0	NA	Intergenic	Intergenic	147916	NR_120551	101928535	Hs.409078	NR_120551	ENSG00000254811	LOC101928535	-	uncharacterized LOC101928535	ncRNA
103	chr18	49537454	49537953	+	0	NA	Intergenic	Intergenic	-24354	NM_006033	9388	Hs.465102	NM_006033	ENSG00000101670	LIPG	EDL|EL|PRO719	lipase G, endothelial type	protein-coding
142	chr6	52352370	52352869	+	0	NA	Intergenic	Intergenic	-9532	NM_133367	85315	Hs.239388	NM_133367	ENSG00000170915	PAQR8	C6orf33|LMPB1|MPRB	progestin and adipoQ receptor family member 8	protein-coding
267	chr5	73826479	73826978	+	0	NA	intron (NM_001244364, intron 1 of 27)	intron (NM_001244364, intron 1 of 27)	13182	NM_001244364	64283	Hs.482521	NM_001080479	ENSG00000214944	ARHGEF28	RGNEF|RIP2|p190RHOGEF	Rho guanine nucleotide exchange factor 28	protein-coding
277	chr11	87000089	87000588	+	0	NA	non-coding (NR_038905, exon 3 of 3)	non-coding (NR_038905, exon 3 of 3)	-37596	NM_001168724	65084	Hs.188591	NM_022918	ENSG00000166575	TMEM135	PMP52	transmembrane protein 135	protein-coding
39	chr6	154555217	154555716	+	0	NA	Intergenic	Intergenic	-44781	NM_173515	154043	Hs.16064	NM_173515	ENSG00000153721	CNKSR3	CNK3|CNK3/IPCEF1|MAGI1	CNKSR family member 3	protein-coding
92	chr7	7553801	7554300	+	0	NA	intron (NR_110084, intron 3 of 4)	intron (NR_110084, intron 3 of 4)	12015	NR_110084	101927391	Hs.223837	NR_110084		LOC101927391	-	uncharacterized LOC101927391	ncRNA
13	chr7	96657625	96658124	+	0	NA	intron (NR_163952, intron 2 of 6)	intron (NR_163952, intron 2 of 6)	6464	NR_038948	7979	Hs.489201	NM_006304	ENSG00000127922	SEM1	C7orf76|DSS1|ECD|SHFD1|SHFM1|SHSF1|Shfdg1	SEM1 26S proteasome complex subunit	protein-coding
75	chr13	97308083	97308582	+	0	NA	intron (NM_144778, intron 2 of 8)	intron (NM_144778, intron 2 of 8)	85999	NM_144778	10150	Hs.657347	NM_144778	ENSG00000139793	MBNL2	MBLL|MBLL39|PRO2032	muscleblind like splicing regulator 2	protein-coding
19	chr11	106386743	106387242	+	0	NA	Intergenic	Intergenic	135585	NR_120551	101928535	Hs.409078	NR_120551	ENSG00000254811	LOC101928535	-	uncharacterized LOC101928535	ncRNA
71	chr11	86726204	86726703	+	0	NA	Intergenic	MIR|SINE|MIR	-53817	NR_147829	10873	Hs.199743	NM_006680	ENSG00000151376	ME3	NADP-ME	malic enzyme 3	protein-coding
22	chr3	171874311	171874810	+	0	NA	Intergenic	Intergenic	26180	NR_046852	100874219	Hs.730556	NR_046852	ENSG00000234717	TMEM212-AS1	-	TMEM212 antisense RNA 1	ncRNA
14	chr3	99911385	99911884	+	0	NA	intron (NM_001042459, intron 4 of 4)	L2c|LINE|L2	-35431	NM_001282794	11259	Hs.104672	NM_014890	ENSG00000168386	FILIP1L	DOC-1|DOC1|GIP130|GIP90	filamin A interacting protein 1 like	protein-coding
190	chr2	223815154	223815653	+	0	NA	intron (NR_110905, intron 1 of 5)	intron (NR_110905, intron 1 of 5)	22179	NM_001039569	130340	Hs.632555	NM_178814	ENSG00000152056	AP1S3	PSORS15	adaptor related protein complex 1 subunit sigma 3	protein-coding
163	chr8	109737585	109738084	+	0	NA	Intergenic	L2a|LINE|L2	-46043	NM_001099744	55638	Hs.390738	NM_017786	ENSG00000147642	SYBU	GOLSYN|OCSYN|SNPHL	syntabulin	protein-coding
220	chr18	49594633	49595132	+	0	NA	3' UTR (NM_001308006, exon 9 of 9)	3' UTR (NM_001308006, exon 9 of 9)	32825	NM_001308006	9388	Hs.465102	NM_006033	ENSG00000101670	LIPG	EDL|EL|PRO719	lipase G, endothelial type	protein-coding
173	chr5	74632970	74633469	+	0	NA	intron (NR_046318, intron 1 of 1)	intron (NR_046318, intron 1 of 1)	-6804	NM_001292004	3074	Hs.69293	NM_000521	ENSG00000049860	HEXB	ENC-1AS|HEL-248|HEL-S-111	hexosaminidase subunit beta	protein-coding
131	chr12	119178478	119178977	+	0	NA	promoter-TSS (NM_014365)	promoter-TSS (NM_014365)	-63	NM_014365	26353	Hs.400095	NM_014365	ENSG00000152137	HSPB8	CMT2L|DHMN2|E2IG1|H11|HMN2|HMN2A|HSP22	heat shock protein family B (small) member 8	protein-coding
116	chr4	99060177	99060676	+	0	NA	intron (NM_015143, intron 10 of 10)	AluY|SINE|Alu	28362	NM_000671	128	Hs.78989	NM_000671	ENSG00000197894	ADH5	ADH-3|ADHX|FALDH|FDH|GSH-FDH|GSNOR|HEL-S-60p	alcohol dehydrogenase 5 (class III), chi polypeptide	protein-coding
156	chr3	100002740	100003239	+	0	NA	intron (NM_001042459, intron 1 of 4)	intron (NM_001042459, intron 1 of 4)	-38591	NR_037486	100500859		NR_037486	ENSG00000264897	MIR3921	-	microRNA 3921	ncRNA
207	chr5	95698175	95698674	+	0	NA	intron (NM_001349303, intron 5 of 8)	intron (NM_001349303, intron 5 of 8)	-15414	NR_125328	83890	Hs.50499	NM_031952	ENSG00000145757	SPATA9	NYD-SP16	spermatogenesis associated 9	protein-coding
191	chr7	6050747	6051246	+	0	NA	intron (NM_001134335, intron 2 of 14)	intron (NM_001134335, intron 2 of 14)	8179	NM_014413	27102	Hs.520205	NM_014413	ENSG00000086232	EIF2AK1	HCR|HRI	eukaryotic translation initiation factor 2 alpha kinase 1	protein-coding
130	chr1	242005077	242005576	+	0	NA	Intergenic	Intergenic	-6228	NM_001004343	440738	Hs.534971	NM_001004343	ENSG00000197769	MAP1LC3C	ATG8J|LC3C	microtubule associated protein 1 light chain 3 gamma	protein-coding
221	chr6	163745850	163746349	+	0	NA	Intergenic	Intergenic	-74615	NR_134620	102724152	Hs.738183	NR_134620		LOC102724152	-	uncharacterized LOC102724152	ncRNA
141	chr9	79895170	79895669	+	0	NA	intron (NR_121213, intron 1 of 2)	intron (NR_121213, intron 1 of 2)	70889	NR_121213	101927477	Hs.571630	NR_121212		LINC01507	XLOC_000303	long intergenic non-protein coding RNA 1507	ncRNA
187	chr16	2795767	2796266	+	0	NA	TTS (NR_145775)	TTS (NR_145775)	516	NR_145775	109616997		NR_145775	ENSG00000221719	SNORA3C	-	small nucleolar RNA, H/ACA box 3C	snoRNA
140	chr7	48140043	48140542	+	0	NA	Intergenic	LTR22A|LTR|ERVK	-31166	NM_152701	154664	Hs.226568	NM_152701	ENSG00000179869	ABCA13	-	ATP binding cassette subfamily A member 13	protein-coding
42	chr19	6568015	6568514	+	0	NA	Intergenic	LTR22B1|LTR|ERVK	22886	NM_001252	970	Hs.501497	NM_001252	ENSG00000125726	CD70	CD27-L|CD27L|CD27LG|LPFS3|TNFSF7|TNLG8A	CD70 molecule	protein-coding
7	chr4	88195763	88196262	+	0	NA	intron (NM_001257386, intron 1 of 15)	MER50|LTR|ERV1	35614	NM_001348985	9429	Hs.480218	NM_004827	ENSG00000118777	ABCG2	ABC15|ABCP|BCRP|BCRP1|BMDP|CD338|CDw338|EST157481|GOUT1|MRX|MXR|MXR-1|MXR1|UAQTL1	ATP binding cassette subfamily G member 2 (Junior blood group)	protein-coding
134	chr3	133480112	133480611	+	0	NA	intron (NR_135276, intron 1 of 4)	intron (NR_135276, intron 1 of 4)	10785	NR_135276	85003	Hs.659202	NR_135276	ENSG00000249993	BFSP2-AS1	-	BFSP2 antisense RNA 1	ncRNA
224	chr14	23061973	23062472	+	0	NA	exon (NM_001164815, exon 15 of 18)	exon (NM_001164815, exon 15 of 18)	-4684	NM_144985	64403	Hs.155912	NM_022478	ENSG00000139880	CDH24	CDH11L	cadherin 24	protein-coding
194	chr9	7185582	7186081	+	0	NA	Intergenic	Intergenic	428481	NM_001304339	23081	Hs.709425	NM_015061	ENSG00000107077	KDM4C	GASC1|JHDM3C|JMJD2C|TDRD14C	lysine demethylase 4C	protein-coding
144	chr4	165440509	165441008	+	0	NA	intron (NM_001873, intron 1 of 8)	intron (NM_001873, intron 1 of 8)	54516	NR_030304	693163		NR_030304	ENSG00000207559	MIR578	MIRN578|hsa-mir-578	microRNA 578	ncRNA
276	chr11	44190821	44191320	+	0	NA	intron (NM_207122, intron 8 of 13)	intron (NM_207122, intron 8 of 13)	94873	NM_000401	2132	Hs.368404	NM_000401	ENSG00000151348	EXT2	SOTV|SSMS	exostosin glycosyltransferase 2	protein-coding
266	chr3	57060343	57060842	+	0	NA	promoter-TSS (NM_181727)	promoter-TSS (NM_181727)	-72	NM_181727	353324	Hs.129794	NM_181727	ENSG00000186451	SPATA12	SRG5	spermatogenesis associated 12	protein-coding
213	chr4	106287349	106287848	+	0	NA	intron (NM_001290768, intron 3 of 26)	MLT1F|LTR|ERVL-MaLR	-28012	NM_001142415	9255	Hs.591680	NM_004757	ENSG00000164022	AIMP1	EMAP2|EMAPII|HLD3|SCYE1|p43	aminoacyl tRNA synthetase complex interacting multifunctional protein 1	protein-coding
50	chr2	214593699	214594198	+	0	NA	Intergenic	MER67B|LTR|ERV1	83766	NR_047698	100885780	Hs.665982	NR_047698	ENSG00000224257	VWC2L-IT1	-	VWC2L intronic transcript 1	ncRNA
253	chr5	124906251	124906750	+	0	NA	Intergenic	Intergenic	-130331	NR_109882	101927421	Hs.121305	NR_109882		LOC101927421	-	uncharacterized LOC101927421	ncRNA
145	chr10	72171031	72171530	+	0	NA	intron (NM_001369110, intron 5 of 8)	MLT1D|LTR|ERVL-MaLR	44676	NM_001369111	51008	Hs.500007	NM_015947	ENSG00000138303	ASCC1	ASC1p50|CGI-18|SMABF2|p50	activating signal cointegrator 1 complex subunit 1	protein-coding
82	chr2	38146812	38147311	+	0	NA	intron (NR_027252, intron 2 of 2)	L2a|LINE|L2	15956	NR_027252	285154	Hs.353894	NM_173652	ENSG00000232973	CYP1B1-AS1	C2orf58	CYP1B1 antisense RNA 1	ncRNA
135	chr11	86515707	86516206	+	0	NA	intron (NM_001014811, intron 3 of 13)	intron (NM_001014811, intron 3 of 13)	141069	NM_001156474	60494	Hs.144913	NM_021827	ENSG00000149201	CCDC81	-	coiled-coil domain containing 81	protein-coding
225	chr7	84548886	84549385	+	0	NA	intron (NR_110079, intron 1 of 2)	intron (NR_110079, intron 1 of 2)	16659	NR_110080	101927378	Hs.539042	NR_110079	ENSG00000235139	LOC101927378	-	uncharacterized LOC101927378	ncRNA
195	chr2	234840217	234840716	+	0	NA	Intergenic	Intergenic	-111551	NM_014521	23677	Hs.516777	NM_014521	ENSG00000130147	SH3BP4	BOG25|TTP	SH3 domain binding protein 4	protein-coding
78	chr18	34928381	34928880	+	0	NA	Intergenic	MLT1K|LTR|ERVL-MaLR	-48298	NM_001143826	10982	Hs.532824	NM_014268	ENSG00000166974	MAPRE2	CSCSC2|EB1|EB2|RP1	microtubule associated protein RP/EB family member 2	protein-coding
251	chr6	126764638	126765137	+	0	NA	Intergenic	Intergenic	280256	NR_030316	693173		NR_030316	ENSG00000207632	MIR588	MIRN588|hsa-mir-588	microRNA 588	ncRNA
210	chr18	49546700	49547199	+	0	NA	Intergenic	MSTB|LTR|ERVL-MaLR	-15108	NM_006033	9388	Hs.465102	NM_006033	ENSG00000101670	LIPG	EDL|EL|PRO719	lipase G, endothelial type	protein-coding
126	chr13	42106086	42106585	+	0	NA	intron (NM_178009, intron 1 of 29)	intron (NM_178009, intron 1 of 29)	-31707	NR_123715	160851	Hs.630380	NM_152910	ENSG00000102780	DGKH	DGKeta	diacylglycerol kinase eta	protein-coding
250	chr12	119892606	119893105	+	0	NA	Intergenic	AluJr|SINE|Alu	-15535	NM_001206999	11113	Hs.119594	NM_007174	ENSG00000122966	CIT	CITK|CRIK|MCPH17|STK21	citron rho-interacting serine/threonine kinase	protein-coding
211	chr2	153386388	153386887	+	0	NA	Intergenic	Intergenic	92125	NM_019845	56475	Hs.100890	NM_019845	ENSG00000177519	RPRM	REPRIMO	reprimo, TP53 dependent G2 arrest mediator homolog	protein-coding
236	chr9	79015271	79015770	+	0	NA	Intergenic	L2b|LINE|L2	130146	NR_109771	101927450	Hs.738041	NR_109771	ENSG00000260995	LOC101927450	-	uncharacterized LOC101927450	ncRNA
6	chr15	58332018	58332517	+	0	NA	Intergenic	Intergenic	-99724	NM_000236	3990	Hs.654472	NM_000236	ENSG00000166035	LIPC	HDLCQ12|HL|HTGL|LIPH	lipase C, hepatic type	protein-coding
164	chr3	133463738	133464237	+	0	NA	intron (NR_135276, intron 1 of 4)	MER63D|DNA|hAT-Blackjack	-8211	NR_135278	85003	Hs.659202	NR_135276	ENSG00000249993	BFSP2-AS1	-	BFSP2 antisense RNA 1	ncRNA
174	chr6	40996883	40997382	+	0	NA	intron (NR_110873, intron 1 of 5)	intron (NR_110873, intron 1 of 5)	26148	NR_110873	101929555	Hs.552555	NR_110873		LOC101929555	-	uncharacterized LOC101929555	ncRNA
246	chr5	154141512	154142011	+	0	NA	Intergenic	Intergenic	-48972	NM_198321	55568	Hs.631797	NM_017540	ENSG00000164574	GALNT10	GALNACT10|PPGALNACT10|PPGANTASE10	polypeptide N-acetylgalactosaminyltransferase 10	protein-coding
188	chr1	12636483	12636982	+	0	NA	Intergenic	Intergenic	-7815	NM_001013630	343066	Hs.209954	NM_001013630	ENSG00000204518	AADACL4	-	arylacetamide deacetylase like 4	protein-coding
45	chr1	171306682	171307181	+	0	NA	Intergenic	HERV9-int|LTR|ERV1	-7252	NM_002022	2329	Hs.386502	NM_002022	ENSG00000076258	FMO4	FMO2	flavin containing dimethylaniline monoxygenase 4	protein-coding
175	chr18	34929163	34929662	+	0	NA	Intergenic	Intergenic	-47516	NM_001143826	10982	Hs.532824	NM_014268	ENSG00000166974	MAPRE2	CSCSC2|EB1|EB2|RP1	microtubule associated protein RP/EB family member 2	protein-coding
41	chr10	90931142	90931641	+	0	NA	Intergenic	Intergenic	-10116	NM_014391	27063	Hs.448589	NM_014391	ENSG00000148677	ANKRD1	ALRP|C-193|CARP|CVARP|MCARP|bA320F15.2	ankyrin repeat domain 1	protein-coding
165	chr3	157499341	157499840	+	0	NA	promoter-TSS (NM_024621)	promoter-TSS (NM_024621)	66	NM_024621	79674	Hs.658046	NM_024621	ENSG00000197415	VEPH1	MELT|VEPH	ventricular zone expressed PH domain containing 1	protein-coding
68	chr4	85812684	85813183	+	0	NA	intron (NM_001346093, intron 1 of 6)	intron (NM_001346093, intron 1 of 6)	-15004	NM_001287805	83478	Hs.444229	NM_031305	ENSG00000138639	ARHGAP24	FILGAP|RC-GAP72|RCGAP72|p73|p73RhoGAP	Rho GTPase activating protein 24	protein-coding
109	chr18	49647559	49648058	+	0	NA	Intergenic	MSTA1|LTR|ERVL-MaLR	85751	NM_001308006	9388	Hs.465102	NM_006033	ENSG00000101670	LIPG	EDL|EL|PRO719	lipase G, endothelial type	protein-coding
208	chr8	107116337	107116836	+	0	NA	Intergenic	Intergenic	219929	NM_001314051	284	Hs.369675	NM_001146	ENSG00000154188	ANGPT1	AGP1|AGPT|ANG1	angiopoietin 1	protein-coding
2	chr7	137953646	137954145	+	0	NA	intron (NR_161346, intron 1 of 3)	intron (NR_161346, intron 1 of 3)	547	NR_161346	100130880	Hs.712161	NR_161346		CREB3L2-AS1	-	CREB3L2 antisense RNA 1	ncRNA
254	chr7	22667816	22668315	+	0	NA	Intergenic	Intergenic	-2532	NR_122075	401312	Hs.583393	NR_122075	ENSG00000105889	LOC401312	-	uncharacterized LOC401312	ncRNA
102	chr4	136425418	136425917	+	0	NA	Intergenic	Intergenic	-511987	NR_103763	100507528	Hs.518987	NR_103762	ENSG00000248330	LINC00613	-	long intergenic non-protein coding RNA 613	ncRNA
214	chr5	125485228	125485727	+	0	NA	Intergenic	Intergenic	-7784	NR_109887	101927460	Hs.407582	NR_109887	ENSG00000260192	LINC02240	-	long intergenic non-protein coding RNA 2240	ncRNA
9	chr1	171220636	171221135	+	0	NA	Intergenic	A-rich|Low_complexity|Low_complexity	-27586	NM_001282694	2326	Hs.1424	NM_002021	ENSG00000010932	FMO1	-	flavin containing dimethylaniline monoxygenase 1	protein-coding
143	chr2	202546687	202547186	+	0	NA	intron (NM_001204, intron 10 of 12)	(TGTTT)n|Simple_repeat|Simple_repeat	-88033	NM_173511	150864	Hs.471130	NM_173511	ENSG00000138439	FAM117B	ALS2CR13	family with sequence similarity 117 member B	protein-coding
193	chr11	86814675	86815174	+	0	NA	intron (NR_120591, intron 1 of 4)	intron (NR_120591, intron 1 of 4)	14382	NM_007173	11098	Hs.25338	NM_007173	ENSG00000150687	PRSS23	SIG13|SPUVE|ZSIG13	serine protease 23	protein-coding
160	chr3	23668339	23668838	+	0	NA	Intergenic	Intergenic	-137367	NM_182666	7324	Hs.164853	NM_003341	ENSG00000170142	UBE2E1	UBCH6	ubiquitin conjugating enzyme E2 E1	protein-coding
223	chrX	39755552	39756051	+	0	NA	Intergenic	Intergenic	-81760	NR_039763	100616251		NR_039763	ENSG00000263972	MIR1587	-	microRNA 1587	ncRNA
170	chr4	140085031	140085530	+	0	NA	intron (NM_018717, intron 1 of 4)	intron (NM_018717, intron 1 of 4)	-42735	NR_147610	101927516	Hs.662570	NR_147610		LOC101927516	-	uncharacterized LOC101927516	ncRNA
282	chr3	36525155	36525654	+	0	NA	intron (NM_001292049, intron 6 of 8)	intron (NM_001292049, intron 6 of 8)	144917	NM_003149	6769	Hs.56045	NM_003149	ENSG00000144681	STAC	STAC1	SH3 and cysteine rich domain	protein-coding
161	chr4	98284561	98285060	+	0	NA	intron (NM_001100427, intron 1 of 14)	MLT1G|LTR|ERVL-MaLR	23426	NM_001100427	5910	Hs.132858	NM_021159	ENSG00000138698	RAP1GDS1	GDS1|SmgGDS	Rap1 GTPase-GDP dissociation stimulator 1	protein-coding
171	chr12	69689055	69689554	+	0	NA	promoter-TSS (NM_152439)	promoter-TSS (NM_152439)	-27	NM_152439	144453	Hs.280782	NM_032735	ENSG00000127325	BEST3	VMD2L3	bestrophin 3	protein-coding
30	chr11	86743296	86743795	+	0	NA	Intergenic	Intergenic	-47526	NM_001293180	11098	Hs.25338	NM_007173	ENSG00000150687	PRSS23	SIG13|SPUVE|ZSIG13	serine protease 23	protein-coding
133	chr3	133476885	133477384	+	0	NA	intron (NR_135276, intron 1 of 4)	intron (NR_135276, intron 1 of 4)	14012	NR_135276	85003	Hs.659202	NR_135276	ENSG00000249993	BFSP2-AS1	-	BFSP2 antisense RNA 1	ncRNA
85	chr1	171222925	171223424	+	0	NA	Intergenic	HERVIP10B3-int|LTR|ERV1	-25297	NM_001282694	2326	Hs.1424	NM_002021	ENSG00000010932	FMO1	-	flavin containing dimethylaniline monoxygenase 1	protein-coding
10	chr3	46114364	46114863	+	0	NA	Intergenic	HERVP71A-int|LTR|ERV1	-87130	NM_005283	2829	Hs.128375	NM_005283	ENSG00000173578	XCR1	CCXCR1|GPR5	X-C motif chemokine receptor 1	protein-coding
81	chr6	126716835	126717334	+	0	NA	Intergenic	Intergenic	232453	NR_030316	693173		NR_030316	ENSG00000207632	MIR588	MIRN588|hsa-mir-588	microRNA 588	ncRNA
98	chr3	16482631	16483130	+	0	NA	intron (NM_015150, intron 2 of 9)	intron (NM_015150, intron 2 of 9)	30819	NM_015150	23180	Hs.98910	NM_015150	ENSG00000131378	RFTN1	MIG2|PIB10|PIG9|RAFTLIN	raftlin, lipid raft linker 1	protein-coding
255	chr7	150923185	150923684	+	0	NA	Intergenic	Intergenic	32370	NM_001204798	3757	Hs.647099	NM_000238	ENSG00000055118	KCNH2	ERG-1|ERG1|H-ERG|HERG|HERG1|Kv11.1|LQT2|SQT1	potassium voltage-gated channel subfamily H member 2	protein-coding
28	chr4	88178220	88178719	+	0	NA	intron (NM_001257386, intron 1 of 15)	L1MA4|LINE|L1	-19146	NM_001348989	9429	Hs.480218	NM_004827	ENSG00000118777	ABCG2	ABC15|ABCP|BCRP|BCRP1|BMDP|CD338|CDw338|EST157481|GOUT1|MRX|MXR|MXR-1|MXR1|UAQTL1	ATP binding cassette subfamily G member 2 (Junior blood group)	protein-coding
215	chr5	173645322	173645821	+	0	NA	Intergenic	Intergenic	-28908	NM_001159651	91272	Hs.425091	NM_138369	ENSG00000145919	BOD1	FAM44B	biorientation of chromosomes in cell division 1	protein-coding
43	chr1	64917383	64917882	+	0	NA	intron (NM_001321852, intron 1 of 24)	intron (NM_001321852, intron 1 of 24)	48917	NM_001321855	3716	Hs.207538	NM_002227	ENSG00000162434	JAK1	JAK1A|JAK1B|JTK3	Janus kinase 1	protein-coding
49	chr10	85642802	85643301	+	0	NA	intron (NM_017551, intron 13 of 15)	intron (NM_017551, intron 13 of 15)	65320	NR_038986	100507470	Hs.585483	NR_038986	ENSG00000234942	GRID1-AS1	-	GRID1 antisense RNA 1	ncRNA
44	chr1	94697792	94698291	+	0	NA	intron (NR_160779, intron 2 of 5)	LTR22|LTR|ERVK	47859	NR_039620	100616321		NR_039620	ENSG00000263526	MIR378G	-	microRNA 378g	ncRNA
216	chr10	86868240	86868739	+	0	NA	intron (NM_004329, intron 2 of 12)	intron (NM_004329, intron 2 of 12)	-87270	NM_001330120	6623	Hs.349470	NM_003087	ENSG00000173267	SNCG	BCSG1|SR	synuclein gamma	protein-coding
231	chr5	73813227	73813726	+	0	NA	promoter-TSS (NM_001244364)	promoter-TSS (NM_001244364)	-70	NM_001244364	64283	Hs.482521	NM_001080479	ENSG00000214944	ARHGEF28	RGNEF|RIP2|p190RHOGEF	Rho guanine nucleotide exchange factor 28	protein-coding
273	chr7	84536157	84536656	+	0	NA	intron (NR_110079, intron 1 of 2)	Charlie17a|DNA|hAT-Charlie	3930	NR_110080	101927378	Hs.539042	NR_110079	ENSG00000235139	LOC101927378	-	uncharacterized LOC101927378	ncRNA
120	chr6	126640748	126641247	+	0	NA	Intergenic	Intergenic	156366	NR_030316	693173		NR_030316	ENSG00000207632	MIR588	MIRN588|hsa-mir-588	microRNA 588	ncRNA
263	chr7	47488923	47489422	+	0	NA	intron (NM_022748, intron 3 of 30)	intron (NM_022748, intron 3 of 30)	-24369	NR_145813	109623468		NR_145813		SNORD151	-	small nucleolar RNA, C/D box 151	snoRNA
121	chr1	94616457	94616956	+	0	NA	non-coding (NR_160779, exon 6 of 6)	non-coding (NR_160779, exon 6 of 6)	73004	NR_162147	113219466		NR_162147		MIR12133	-	microRNA 12133	ncRNA
230	chr1	228838481	228838980	+	0	NA	Intergenic	Intergenic	103251	NM_021205	58480	Hs.647774	NM_021205	ENSG00000116574	RHOU	ARHU|CDC42L1|G28K|WRCH1|hG28K	ras homolog family member U	protein-coding
256	chr1	212219630	212220129	+	0	NA	intron (NR_125982, intron 2 of 3)	intron (NR_125982, intron 2 of 3)	14857	NR_125983	101929541	Hs.632493	NR_125982	ENSG00000226251	LINC02608	-	long intergenic non-protein coding RNA 2608	ncRNA
107	chr9	26949501	26950000	+	0	NA	intron (NM_001099222, intron 1 of 19)	LTR8B|LTR|ERV1	-2277	NM_001321546	9373	Hs.27182	NM_004253	ENSG00000137055	PLAA	DOA1|NDMSBA|PLA2P|PLAP	phospholipase A2 activating protein	protein-coding
241	chr11	60303513	60304012	+	0	NA	intron (NM_024021, intron 6 of 7)	intron (NM_024021, intron 6 of 7)	23096	NM_024021	51338	Hs.325960	NM_024021	ENSG00000110079	MS4A4A	4SPAN1|CD20-L1|CD20L1|HDCME31P|MS4A4|MS4A7	membrane spanning 4-domains A4A	protein-coding
