Intensity 01	Intensity 02	Intensity 03	Intensity 04	Intensity 05	Intensity 06	Intensity 07	Intensity 08	Intensity 09	Intensity 10	C: Only identified by site	C: Reverse	C: Potential contaminant	C: Taxonomy IDs	C: Taxonomy names	C: Student's T-test Significant WT281_W281P	C: Student's T-test significant	C: Student's T-test Significant WT281_W281X	C: Student's T-test significant_	C: Student's T-test Significant W281P_W281X	C: Student's T-test significant__	N: Peptides	N: Razor + unique peptides	N: Unique peptides	N: Sequence coverage [%]	N: Unique + razor sequence coverage [%]	N: Unique sequence coverage [%]	N: Mol. weight [kDa]	N: Q-value	N: Score	N: Intensity	N: iBAQ peptides	N: MS/MS count	N: -Log Student's T-test p-value WT281_W281P	N: Student's T-test Difference WT281_W281P	N: Student's T-test Test statistic WT281_W281P	N: -Log Student's T-test p-value WT281_W281X	N: Student's T-test Difference WT281_W281X	N: Student's T-test Test statistic WT281_W281X	N: -Log Student's T-test p-value W281P_W281X	N: Student's T-test Difference W281P_W281X	N: Student's T-test Test statistic W281P_W281X	T: Protein IDs	T: Majority protein IDs	T: Protein names	T: Gene names	T: id
19.076	16.5688	17.0603	22.8164	23.0137	21.1952	20.5008	22.3823	21.4948	21.9158				-1								4	4	4	31	31	31	23.356	0	29.993	32118000	11	11	0.453246	1.9725	1.05195	0.357711	1.60827	0.858894	0.0516362	-0.364228	-0.150169	P09211	P09211	Glutathione S-transferase P	GSTP1	200
22.3081	15.9987	17.7033	22.0381	22.439	21.4241	22.3991	21.4147	22.9421	22.7992				-1								2	2	2	22.2	22.2	22.2	14.716	0	49.217	41684000	9	16	0.258593	1.50425	0.649677	0.536115	1.69576	1.21554	0.0240688	0.191513	0.0719611	P09382	P09382	Galectin-1	LGALS1	201
20.0715	18.8194	20.8314	23.0757	22.7416	23.0637	22.7656	22.7345	22.1952	22.7621				-1								5	4	4	34.9	29.3	29.3	24.893	0	27.747	52973000	11	19	0.532944	1.48834	1.20932	0.221469	0.423674	0.5678	0.300591	-1.06467	-0.739767	P09429;B2RPK0	P09429	High mobility group protein B1	HMGB1	202
21.1592	19.4837	21.4862	23.634	23.0527	23.0747	23.1714	23.3717	22.2762	21.9883			#ERROR!	-1								7	7	7	17.6	17.6	17.6	32.708	0	43.827	66106000	23	33	1.02644	1.94922	2.18618	0.290544	0.466984	0.718431	0.606478	-1.48223	-1.35301	P09493;CON__Q3SX28;P07951;P67936;P06753	P09493;CON__Q3SX28;P07951	Tropomyosin alpha-1 chain;Tropomyosin beta chain	TPM1;TPM2	203
28.6077	26.5396	27.1504	27.5095	27.6099	27.4918	27.126	26.7334	27.2373	27.7395				-1								15	15	15	44.4	44.4	44.4	38.746	0	231.54	1880600000	19	220	0.0120518	-0.0157121	-0.0365017	0.336537	-0.227514	-0.815133	0.225637	-0.211802	-0.57711	P09651;Q32P51	P09651;Q32P51	Heterogeneous nuclear ribonucleoprotein A1;Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed;Heterogeneous nuclear ribonucleoprotein A1-like 2	HNRNPA1;HNRNPA1L2	204
21.3911	18.7651	19.2772	20.904	21.8543	21.2221	20.7394	20.8422	21.0099	21.0362				-1								3	3	3	16.5	16.5	16.5	28.415	0	29.789	19923000	14	12	0.452711	0.874875	1.05089	0.411614	0.677552	0.968583	0.0717016	-0.197323	-0.204688	P09661	P09661	U2 small nuclear ribonucleoprotein A	SNRPA1	205
23.1472	23.1856	24.6094	25.3381	25.6043	25.4815	25.0986	25.01	25.667	25.6095				-1								21	21	21	28.7	28.7	28.7	113.08	0	162.78	358890000	60	132	0.19038	0.416922	0.497273	0.10409	0.0946344	0.289083	0.138339	-0.322288	-0.374252	P09874	P09874	Poly [ADP-ribose] polymerase 1	PARP1	206
21.8426	16.3785	19.3938	19.7459	19.7317	20.6737	19.7658	18.2186	21.6174	18.666				-1								3	2	1	6.2	4.2	2.3	70.051	0.007335	7.5124	11415000	36	5	0.0773253	0.351408	0.219644	0.476028	-0.699087	-1.09719	0.268799	-1.05049	-0.671797	P0DMV9;P0DMV8	P0DMV9;P0DMV8	Heat shock 70 kDa protein 1B;Heat shock 70 kDa protein 1A	HSPA1B;HSPA1A	209
23.1926	21.5875	22.4443	23.5742	24.405	22.5311	23.3994	22.5911	23.6273	22.986				-1								3	3	3	30.9	30.9	30.9	16.837	0	40.988	97857000	9	32	0.3856	0.731571	0.915927	0.409568	0.615341	0.964458	0.0571328	-0.11623	-0.165291	P0DP25;P0DP24;P0DP23	P0DP25;P0DP24;P0DP23			210
21.2707	18.1367	20.0663	21.173	21.6632	21.1983	20.5308	21.0649	21.3254	21.7083				-1								2	2	2	22.9	22.9	22.9	11.737	0	12.779	21771000	7	8	0.231761	0.696152	0.590735	0.214281	0.273755	0.551665	0.130196	-0.422397	-0.354339	P10599	P10599	Thioredoxin	TXN	213
19.9396	18.6225	18.711	21.6126	19.7799	21.5978	20.4772	18.9758	20.3085	21.0696				-1								3	3	3	24	24	24	13.696	0	16.807	14593000	10	6	0.109777	-0.255903	-0.303491	0.35204	-0.896168	-0.847215	0.205171	-0.640266	-0.531071	P10606	P10606	Cytochrome c oxidase subunit 5B, mitochondrial	COX5B	214
23.9725	21.6831	22.2241	23.4405	24.4689	22.1855	23.1464	22.2318	24.3088	24.1495				-1								12	12	12	35.4	35.4	35.4	61.054	0	114.43	117700000	36	49	0.0309029	-0.0981236	-0.091739	0.360922	0.66562	0.865495	0.333393	0.763744	0.808597	P10809	P10809	60 kDa heat shock protein, mitochondrial	HSPD1	215
26.4318	25.2786	25.9778	25.4598	25.1322	25.8287	25.7968	24.8655	26.562	26.1298				-1								23	22	22	41.1	41.1	41.1	72.332	0	249.8	601190000	39	241	0.707855	-0.725302	-1.55054	0.706822	-0.490618	-1.54852	0.22526	0.234683	0.576269	P11021	P11021	78 kDa glucose-regulated protein	HSPA5	216
29.2188	25.5457	26.8033	26.7221	27.2056	27.0523	28.2152	25.814	28.1586	26.2672				-1								28	28	24	47.4	47.4	43.3	70.897	0	323.31	1946500000	37	343	0.150256	0.421075	0.403044	0.112968	0.219046	0.311528	0.0916839	-0.20203	-0.257239	P11142;P54652	P11142	Heat shock cognate 71 kDa protein	HSPA8	218
23.2577	22.6494	24.3047	24.1104	24.6053	25.0536	24.2794	23.8639	24.7654	24.2279				-1								18	18	18	28.1	28.1	28.1	90.725	0	114.03	199580000	47	87	0.213526	0.368615	0.549965	0.267546	-0.240033	-0.669089	0.364663	-0.608649	-0.873173	P11387;Q969P6	P11387	DNA topoisomerase 1	TOP1	220
22.2985	18.3739	21.2202	20.4425	22.9241	21.3978	20.7072	20.2915	22.83	21.5135				-1								10	10	10	13.3	13.3	13.3	101.53	0	62.39	33533000	56	20	0.0921955	0.401798	0.258564	0.120801	0.28746	0.331112	0.0283725	-0.114337	-0.0844476	P11586	P11586	C-1-tetrahydrofolate synthase, cytoplasmic;Methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase;Formyltetrahydrofolate synthetase;C-1-tetrahydrofolate synthase, cytoplasmic, N-terminally processed	MTHFD1	221
27.6081	25.3524	26.5216	25.7908	25.792	26.2121	25.7396	25.3025	26.471	26.0453				-1								23	23	14	37.7	37.7	21.5	70.67	0	267.03	797310000	38	193	0.405051	-0.344889	-0.955343	1.00696	-0.563471	-2.14611	0.219022	-0.218583	-0.562318	P11940;Q9H361;Q4VXU2;Q5JQF8;Q96DU9	P11940	Polyadenylate-binding protein 1	PABPC1	222
29.1317	29.5508	29.9858	29.8086	29.0544	29.1369	28.1249	28.7291	30.366	30.4338				-1		#ERROR!	WT281_W281P					36	36	36	28.8	28.8	28.8	181.06	0	323.31	8097900000	100	657	1.70585	-1.48069	-3.76521	1.25934	-1.00759	-2.68334	0.544776	0.473103	1.23251	P12107	P12107	Collagen alpha-1(XI) chain	COL11A1	223
22.2985	18.4676	19.4929	20.8264	22.2542	21.0521	21.3997	20.6699	21.9045	20.7246				-1								10	2	2	40.3	7.4	7.4	33.064	0	13.087	25388000	21	14	0.413033	1.07571	0.971441	0.668195	0.984163	1.47323	0.0274481	-0.091547	-0.0817747	P12235	P12235	ADP/ATP translocase 1	SLC25A4	224
27.8147	24.148	25.9956	26.3935	27.2361	26.6144	26.8707	25.6197	27.0475	26.2313				-1								14	14	3	54.4	54.4	12.8	32.866	0	117.31	1062300000	22	124	0.316102	0.766532	0.772465	0.175089	0.240992	0.461823	0.234061	-0.525539	-0.595835	P12236	P12236	ADP/ATP translocase 3;ADP/ATP translocase 3, N-terminally processed	SLC25A6	225
21.0221	18.7606	22.6183	24.2431	24.4171	24.3734	23.7132	24.5731	24.3775	23.602				-1								27	27	27	14.5	14.5	14.5	267.29	0	187.44	146240000	140	100	0.486814	1.98778	1.11853	0.322179	0.489541	0.785201	0.334883	-1.49824	-0.811696	P12270	P12270	Nucleoprotein TPR	TPR	226
20.6773	15.5045	15.6897	20.4492	17.8367	17.8104	18.0091	15.6206	18.4868	20.4272				-1								2	2	2	7.6	7.6	7.6	42.644	0	12.101	4518300	21	3	0.238431	-0.984011	-0.605499	0.202433	-0.827637	-0.524849	0.026398	0.156374	0.0787325	P12277	P12277	Creatine kinase B-type	CKB	228
18.4146	17.1672	19.7396	19.6588	20.126	19.5704	19.7056	17.9686	19.3371	19.6339				-1								2	2	2	6.2	6.2	6.2	47.036	0.0026525	11.648	4586700	26	2	0.210505	0.554038	0.543148	0.230629	-0.389478	-0.588222	0.533883	-0.943516	-1.21116	P12532;P17540	P12532;P17540	Creatine kinase U-type, mitochondrial;Creatine kinase S-type, mitochondrial	CKMT1A;CKMT2	229
18.846	18.0179	17.8777	19.2942	20.3746	18.9487	19.9746	20.5751	18.4346	18.5223				-1		#ERROR!	WT281_W281P	#ERROR!	WT281_W281X			11	2	2	15.4	3.4	3.4	103.06	0	11.945	5477300	60	3	2.96459	1.9832	8.42872	1.59189	1.60129	3.46964	0.349207	-0.381914	-0.84137	P12814	P12814	Alpha-actinin-1	ACTN1	230
23.514	21.844	24.0501	25.8526	25.9729	25.6875	25.1031	25.089	25.4745	25.524				-1								24	24	24	48.6	48.6	48.6	69.842	0	205.42	380210000	40	153	0.369858	1.10749	0.883814	0.107171	0.191592	0.296904	0.272465	-0.915897	-0.679705	P12956	P12956	X-ray repair cross-complementing protein 6	XRCC6	232
23.3332	21.9643	22.9053	24.4282	25.195	24.7673	24.5365	24.2328	25.3443	24.3924				-1								19	19	19	37.4	37.4	37.4	82.704	0	192.63	220730000	44	93	0.291997	0.7544	0.721525	0.413228	0.621136	0.971835	0.0390972	-0.133264	-0.115105	P13010	P13010	X-ray repair cross-complementing protein 5	XRCC5	233
25.0397	17.6476	21.1246	22.4768	23.0611	21.6887	20.7402	22.1331	21.8712	23.0263				-1								7	7	7	11.1	11.1	11.1	95.337	0	48.382	73477000	52	26	0.253633	1.12978	0.638869	0.0986814	0.214749	0.275269	0.211014	-0.915026	-0.544298	P13639	P13639	Elongation factor 2	EEF2	234
23.0819	16.5912	21.3076	18.0409	20.7156	19.885	22.7719	15.8826	20.798	18.4816				-1								4	4	4	10.5	10.5	10.5	58.489	0	29.663	23149000	26	8	0.187553	1.16644	0.490758	0.00664082	0.0455329	0.0202347	0.294798	-1.12091	-0.727482	P14373	P14373	Zinc finger protein RFP	TRIM27	235
21.7421	16.3346	20.216	21.3057	22.2399	21.1495	18.9014	19.9287	21.7002	21.7205				-1								1	1	1	15.7	15.7	15.7	9.3959	0.0073983	7.688	22458000	5	8	0.0752683	0.438204	0.214189	0.196418	-0.533721	-0.511127	0.205965	-0.971925	-0.532871	P14406	P14406	Cytochrome c oxidase subunit 7A2, mitochondrial	COX7A2	236
21.2066	15.5849	19.0185	23.072	23.2327	21.2334	21.6816	21.972	22.3613	20.5515				-1								6	6	6	18.3	18.3	18.3	57.936	0	39.004	38493000	36	13	0.601721	2.79619	1.34374	0.396889	1.18747	0.938837	0.276049	-1.60872	-0.687417	P14618	P14618	Pyruvate kinase PKM	PKM	237
20.1277	16.4821	17.2758	21.6468	21.3536	19.5791	18.8541	22.178	21.8972	21.3292				-1								7	6	6	11.7	10.2	10.2	92.468	0	40.179	19178000	49	14	0.169603	0.892413	0.448973	0.33124	1.29467	0.804115	0.0657343	0.40226	0.188667	P14625	P14625	Endoplasmin	HSP90B1	238
21.0759	17.6292	20.6008	21.6089	21.7628	21.3779	18.8902	21.1019	20.8584	20.7202				-1								2	2	2	6.2	6.2	6.2	24.614	0.002635	11.559	19850000	15	7	0.245759	0.849068	0.621631	0.264995	-0.61085	-0.66357	0.594894	-1.45992	-1.33043	P63162;P14678	P63162;P14678	Small nuclear ribonucleoprotein-associated protein N;Small nuclear ribonucleoprotein-associated proteins B and B	SNRPN;SNRPB	239
27.0332	24.8361	25.7851	25.8255	26.2398	25.9207	26.0002	25.2937	26.4487	25.5068				-1								17	17	17	46	46	46	64.132	0	261.44	674860000	24	185	0.170945	0.247392	0.452124	0.000927362	0.000815709	0.00284407	0.202613	-0.246576	-0.525258	P14866	P14866	Heterogeneous nuclear ribonucleoprotein L	HNRNPL	240
19.0051	18.8906	19.6521	18.0089	19.435	19.7906	18.835	19.3841	20.9792	17.2843				-1								1	1	1	4	4	4	57.136	0.0072029	7.0407	4968200	39	3	0.0527913	0.166665	0.153359	0.0379435	0.0675062	0.111838	0.0274359	-0.0991586	-0.0817395	P14868	P14868	Aspartate--tRNA ligase, cytoplasmic	DARS	241
18.3654	15.9605	18.3241	20.8685	21.6888	19.5693	19.7053	18.5736	20.5904	20.8987				-1								2	2	2	25.2	25.2	25.2	13.53	0	14.985	10462000	8	5	0.172848	0.8394	0.456585	0.125825	0.401908	0.343567	0.0884557	-0.437491	-0.248858	P14927	P14927	Cytochrome b-c1 complex subunit 7	UQCRB	243
23.2781	22.1396	24.6545	26.0638	25.9856	25.481	25.6307	25.3823	26.402	25.6223				-1								19	19	10	36.7	36.7	22.7	69.412	0	219	460630000	39	133	0.288824	0.94491	0.714767	0.235524	0.266428	0.599073	0.189085	-0.678482	-0.49429	P15311	P15311	Ezrin	EZR	244
27.4972	25.4455	26.4906	26.255	26.5799	26.4353	26.4419	25.2758	26.9826	26.3246				-1								11	11	11	46.8	46.8	46.8	31.324	0	285.22	949000000	22	141	0.0887742	-0.151742	-0.249687	0.282639	-0.294444	-0.701553	0.114945	-0.142702	-0.316491	P15880	P15880	40S ribosomal protein S2	RPS2	245
28.8583	22.9819	26.4233	23.937	26.7473	29.0683	26.8073	24.1936	27.0552	26.3592				-1								88	88	88	40.3	40.3	40.3	331.77	0	323.31	1638700000	204	342	0.106654	0.450658	0.295592	0.119076	-0.560078	-0.326817	0.200329	-1.01074	-0.520057	P15924	P15924	Desmoplakin	DSP	246
28.7168	27.5896	27.6896	26.3378	26.2698	27.3283	27.3755	26.3612	27.3608	27.3188				-1								7	7	7	22.1	22.1	22.1	22.58	0	94.493	1794000000	13	124	0.970254	-0.754287	-2.07116	0.347028	-0.44976	-0.836869	0.299659	0.304527	0.737795	P16401	P16401	Histone H1.5	HIST1H1B	248
25.7163	23.778	24.5305	23.3861	24.0651	24.3151	24.2064	23.8719	24.5256	24.4881				-1								8	1	1	24.4	7.2	7.2	22.35	0.0075282	8.3865	225530000	13	25	0.341409	-0.21606	-0.825239	0.0270981	-0.029417	-0.0807616	0.164516	0.186643	0.43699	P16402	P16402	Histone H1.3	HIST1H1D	249
29.7031	28.4497	28.4738	27.0418	27.192	28.1857	28.3232	26.9787	28.3841	28.0701				-1								9	9	2	27.2	27.2	9.4	21.364	0	96.408	3310400000	13	156	0.862111	-0.803334	-1.85389	0.266062	-0.402447	-0.66588	0.370686	0.400887	0.885509	P16403;P22492	P16403	Histone H1.2	HIST1H1C	250
21.4575	19.5248	19.5175	21.2199	21.6363	21.4056	19.9978	20.4657	21.7312	21.1647				-1								2	2	2	2.9	2.9	2.9	114.76	0	14.355	21192000	52	14	0.0444459	-0.106948	-0.130161	0.00609782	-0.014382	-0.0185915	0.0350382	0.0925662	0.103577	P16615;Q93084;O14983	P16615;Q93084;O14983	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2;Sarcoplasmic/endoplasmic reticulum calcium ATPase 3;Sarcoplasmic/endoplasmic reticulum calcium ATPase 1	ATP2A2;ATP2A3;ATP2A1	251
24.4368	22.4332	22.8852	20.43	22.2511	21.2006	21.5331	20.7767	21.2557	21.4353				-1								11	6	6	51.3	40.3	40.3	40.089	0	56.588	55104000	18	22	0.12213	-0.187792	-0.334415	0.00586071	0.0150255	0.0178734	0.0887848	0.202818	0.249714	P16989	P16989	Y-box-binding protein 3	YBX3	252
25.3124	22.2986	23.1403	22.5896	22.5757	23.345	24.0058	21.6922	23.4292	22.5311				-1								4	1	1	5.8	1.7	1.7	71.027	0	12.454	116880000	39	14	0.00213191	0.00494321	0.00652922	0.138943	-0.267063	-0.37572	0.263483	-0.272006	-0.660294	P17066;P48741	P17066;P48741	Heat shock 70 kDa protein 6;Putative heat shock 70 kDa protein 7	HSPA6;HSPA7	253
24.3699	23.1456	24.1867	26.0089	25.3136	25.6723	26.1778	25.0134	25.7302	25.4444				-1								5	5	5	41.1	41.1	41.1	11.676	0	131.15	423850000	6	59	0.338268	0.728196	0.818726	0.117077	0.212307	0.321826	0.200491	-0.515889	-0.520427	P17096	P17096	High mobility group protein HMG-I/HMG-Y	HMGA1	254
27.8596	24.6644	25.9648	26.1054	26.3141	26.0413	26.6103	25.1798	27.0695	25.3711				-1								26	17	17	51.6	37.6	37.6	69.147	0	297.19	885010000	35	194	0.148265	0.333071	0.398262	0.00182571	-0.00244904	-0.00559341	0.178318	-0.33552	-0.469356	P17844	P17844	Probable ATP-dependent RNA helicase DDX5	DDX5	256
23.1416	17.7274	19.463	20.969	22.5669	19.9641	22.9507	19.7513	22.657	20.2575				-1								4	4	4	10.6	10.6	10.6	60.343	0	34.396	36338000	35	20	0.370029	1.54231	0.884164	0.668892	1.62425	1.47458	0.0182748	0.0819429	0.0549763	P17987	P17987	T-complex protein 1 subunit alpha	TCP1	257
25.1827	24.5575	25.1021	24.1446	23.3735	24.5226	23.397	22.3908	23.3903	24.6887				-1				#ERROR!	WT281_W281X			5	5	5	21.8	21.8	21.8	12.538	0	30.232	206890000	9	37	1.02752	-1.15842	-2.1884	1.62259	-1.53598	-3.54781	0.30943	-0.377555	-0.758435	P18077	P18077	60S ribosomal protein L35a	RPL35A	258
28.8686	27.4926	27.5997	26.6972	26.7565	27.3798	27.0576	26.4384	27.7356	27.3074				-1		#ERROR!	WT281_W281P					17	17	17	54.4	54.4	54.4	29.225	0	254.95	1899400000	16	159	1.60324	-0.761052	-3.49841	0.661317	-0.474753	-1.45983	0.406693	0.286299	0.958659	P18124	P18124	60S ribosomal protein L7	RPL7	259
26.9594	22.6744	23.4007	22.0564	23.961	23.0764	25.613	22.1808	25.4641	21.8408				-1								24	24	24	16.6	16.6	16.6	263.83	0	321.18	283910000	81	87	0.149251	0.591862	0.400631	0.428738	1.0738	1.003	0.154244	0.481934	0.412591	P18583	P18583	Protein SON	SON	260
28.5985	26.864	27.5542	26.8278	26.7338	27.0415	26.6705	25.8048	27.5458	26.8145				-1								10	10	10	47.3	47.3	47.3	21.397	0	323.31	1573900000	11	173	0.815282	-0.671711	-1.76116	0.934992	-0.73815	-1.99977	0.0729056	-0.0664393	-0.207901	P18621	P18621	60S ribosomal protein L17	RPL17	261
21.9841	19.9781	20.9426	22.8124	23.1776	22.6321	22.547	22.3568	22.7215	22.7559				-1								6	6	6	22.6	22.6	22.6	44.969	0	41.306	56049000	19	32	0.386806	0.875304	0.918379	0.365828	0.564823	0.875562	0.101803	-0.310481	-0.283253	P18754	P18754	Regulator of chromosome condensation	RCC1	262
28.9332	26.9922	28.0028	27.6572	27.4923	27.7983	26.9495	27.2487	27.8967	27.9516				-1				#ERROR!	WT281_W281X			23	23	23	39.3	39.3	39.3	76.613	0	323.31	2347500000	46	295	0.477532	-0.383332	-1.10017	1.46761	-0.589271	-3.16344	0.249615	-0.205939	-0.630086	P19338	P19338	Nucleolin	NCL	263
22.937	16.5571	20.5683	19.4141	20.4871	19.6281	20.2583	17.3649	20.3849	19.8452				-1								5	5	5	10.9	10.9	10.9	62.094	0	33.257	15187000	25	6	0.101428	0.441001	0.282297	0.178309	-0.500072	-0.469334	0.307474	-0.941072	-0.754312	P19525	P19525	Interferon-induced, double-stranded RNA-activated protein kinase	EIF2AK2	264
24.4195	23.6936	24.3045	25.2965	25.3532	25.5665	26.2411	24.9804	25.5313	25.1637				-1								20	20	20	40.4	40.4	40.4	66.408	0	323.31	388990000	38	190	0.467517	0.728723	1.08032	0.36587	0.469122	0.875647	0.141433	-0.259601	-0.381766	P20700	P20700	Lamin-B1	LMNB1	267
19.0581	16.9833	19.1529	18.7239	19.0073	19.0568	18.3885	19.1455	19.5572	16.8101				-1								1	1	1	2.9	2.9	2.9	56.5	0.0068493	6.4978	3006600	29	1	0.506984	1.06358	1.15831	0.187449	-0.130769	-0.490519	0.594921	-1.19435	-1.33048	P21281	P21281	V-type proton ATPase subunit B, brain isoform	ATP6V1B2	269
25.3127	20.8399	23.1424	23.776	24.875	24.3899	24.4292	23.7126	24.419	24.0927				-1								23	23	18	13.2	13.2	10.7	280.74	0	158.49	196590000	144	95	0.439856	1.22173	1.02525	0.503888	0.569528	1.15222	0.211073	-0.652202	-0.544432	P21333	P21333	Filamin-A	FLNA	270
23.8895	24.0375	24.545	25.7853	26.1337	25.9408	25.5544	24.4339	25.6837	25.8636				-1								15	15	15	66.1	66.1	66.1	30.772	0	196.56	439990000	18	140	0.0827023	0.179068	0.23382	0.0249653	-0.0496864	-0.0745713	0.113727	-0.228755	-0.313436	P21796	P21796	Voltage-dependent anion-selective channel protein 1	VDAC1	272
22.2578	21.9214	20.632	22.6533	22.5998	21.6669	21.7547	22.0484	23.5524	23.0664				-1								10	10	10	20.2	20.2	20.2	77.328	0	61.879	55856000	36	23	0.585147	-0.712426	-1.31141	0.311469	0.483546	0.762729	0.722008	1.19597	1.57817	P21980	P21980	Protein-glutamine gamma-glutamyltransferase 2	TGM2	273
24.6061	23.3423	23.5577	23.6804	23.684	24.1769	24.2963	23.5026	24.0924	23.2728				-1								7	7	6	37.7	37.7	34.3	33.784	0	94.381	154920000	22	70	0.294426	0.25845	0.72669	0.0248129	0.022665	0.0741279	0.295398	-0.235785	-0.728756	P22087	P22087	rRNA 2-O-methyltransferase fibrillarin	FBL	274
24.8103	21.5313	23.3631	23.4278	23.066	23.7046	22.9867	22.2246	23.8006	22.8767				-1								10	5	2	36.1	23.2	13.7	29.455	0	53.748	112500000	19	42	0.0106359	0.0229511	0.0322639	1.20661	-0.739349	-2.56751	0.499047	-0.7623	-1.14268	P22090	P22090	40S ribosomal protein S4, Y isoform 1	RPS4Y1	275
18.8479	16.0248	17.8698	20.8746	21.401	18.1397	18.9336	17.4272	20.456	20.1198				-1								3	3	3	28.9	28.9	28.9	17.298	0	17.186	7269600	12	4	0.0739994	0.387028	0.210815	0.0678898	0.292536	0.194472	0.018288	-0.094492	-0.0550151	P22392;P15531;O60361	P22392;P15531	Nucleoside diphosphate kinase B;Nucleoside diphosphate kinase A	NME2;NME1	276
29.0366	26.7225	27.2791	27.2765	27.9805	27.4536	27.5759	26.6875	27.5919	27.9045				-1								20	20	20	63.7	63.7	63.7	37.429	0	323.31	2197200000	19	292	0.00524776	0.00833511	0.0160151	0.0708763	0.0782248	0.202481	0.0680767	0.0698897	0.194975	P22626	P22626	Heterogeneous nuclear ribonucleoproteins A2/B1	HNRNPA2B1	277
25.9917	22.2471	24.3658	24.593	25.2365	24.4176	25.1819	23.7314	25.6165	23.7406				-1								13	13	13	40.4	40.4	40.4	48.442	0	205.37	298020000	23	117	0.318188	0.848516	0.776842	0.199426	0.257772	0.517998	0.238	-0.590745	-0.604547	P22695	P22695	Cytochrome b-c1 complex subunit 2, mitochondrial	UQCRC2	279
25.7582	23.9977	25.0672	25.9776	26.714	25.8977	26.5079	25.1444	26.5316	26.1587				-1								14	14	13	27.6	27.6	26.4	76.149	0	172.78	651770000	32	125	0.236402	0.559417	0.601017	0.34357	0.474615	0.829716	0.034045	-0.084802	-0.100743	P23246	P23246	Splicing factor, proline- and glutamine-rich	SFPQ	280
24.1475	17.0647	18.2124	18.1931	20.5402	19.1411	19.3046	17.3638	22.2519	18.3036				-1								6	6	6	21.3	21.3	21.3	51.169	0	40.219	26632000	21	8	0.0252939	-0.137216	-0.0755268	0.221393	0.55397	0.567629	0.162976	0.691186	0.43335	P23258;Q9NRH3	P23258;Q9NRH3	Tubulin gamma-1 chain;Tubulin gamma-2 chain	TUBG1;TUBG2	281
19.6751	15.346	18.5506	20.058	21.2778	17.6213	20.3256	20.2567	18.242	20.793				-1								2	2	2	12	12	12	23.742	0	13.938	8017700	16	7	0.708	2.49309	1.55082	1.12763	1.87676	2.39776	0.131294	-0.616324	-0.357035	P23284	P23284	Peptidyl-prolyl cis-trans isomerase B	PPIB	282
27.0582	24.6782	25.9273	25.8056	26.2938	26.2559	26.2353	25.3172	26.3872	25.8041				-1								15	15	15	64.2	64.2	64.2	26.688	0	124.94	718620000	19	150	0.213174	0.32564	0.549172	0.0473176	-0.0474866	-0.138183	0.290572	-0.373126	-0.718493	P23396	P23396	40S ribosomal protein S3	RPS3	283
24.4917	21.4802	23.6708	24.4325	25.2217	24.1934	24.0795	23.9006	24.6488	24.6085				-1								6	6	6	57.8	57.8	57.8	18.502	0	84.702	206090000	12	61	0.295099	0.821454	0.728121	0.254442	0.301713	0.640634	0.184716	-0.51974	-0.484205	P23528;Q9Y281	P23528	Cofilin-1	CFL1	284
18.9526	17.5057	21.8902	20.4017	23.3822	20.5898	19.9913	20.2874	20.7649	18.4686				-1								2	2	2	12.4	12.4	12.4	24.763	0	55.538	21888000	14	9	0.727164	2.30724	1.58824	0.0774283	0.25972	0.219916	0.888427	-2.04752	-1.90633	P24534	P24534	Elongation factor 1-beta	EEF1B2	285
27.52	24.1419	24.5147	18.9601	25.9711	22.5722	26.9685	19.4362	28.2957	20.6089				-1								1	1	1	0.4	0.4	0.4	311.64	0.0069686	6.6337	770090000	177	8	0.0230331	-0.223543	-0.0689398	0.298553	2.10964	0.735451	0.352068	2.33318	0.847272	P25054	P25054	Adenomatous polyposis coli protein	APC	287
20.8886	17.609	20.0394	21.4007	20.4937	20.949	20.6946	20.5193	22.6355	17.9081				-1								3	3	3	5.7	5.7	5.7	90.98	0	22.21	19004000	56	12	0.294752	1.18502	0.727385	0.218177	-0.227116	-0.560422	0.349682	-1.41214	-0.84235	P25205	P25205	DNA replication licensing factor MCM3	MCM3	288
23.9615	20.9431	22.9189	23.8698	24.2064	23.286	23.1072	21.7147	23.9229	23.1333				-1								6	6	6	56.8	56.8	56.8	14.515	0	52.86	108780000	7	44	0.108072	0.342979	0.299183	0.170766	-0.348836	-0.451704	0.301287	-0.691816	-0.741242	P25398	P25398	40S ribosomal protein S12	RPS12	289
27.1414	23.4448	25.2065	26.1996	26.4073	26.0209	26.4896	24.9819	26.2205	25.5656				-1								19	19	19	45.8	45.8	45.8	59.75	0	268.74	687540000	36	162	0.382561	0.882616	0.909742	0.0931271	0.150582	0.260973	0.339329	-0.732034	-0.820928	P25705	P25705	ATP synthase subunit alpha, mitochondrial	ATP5A1	290
17.857	15.6396	19.8698	21.3247	21.6516	21.9948	21.6249	21.1204	20.9642	21.1117				-1								13	5	5	21.8	9	9	67.819	0	28.252	20884000	40	11	0.544361	2.22717	1.2317	0.244457	0.402569	0.618773	0.405994	-1.8246	-0.957246	P26038	P26038	Moesin	MSN	291
