Intensity 01_rerun	Intensity 02	Intensity 03	Intensity 04	Intensity 05	Intensity 06	Intensity 07	Intensity 08	Intensity 09	Intensity 10	C: Reverse	C: Potential contaminant	C: Taxonomy IDs	C: Student's T-test Significant I315I_I315R	C: Student's T-test significant	C: Student's T-test Significant I315I_I315X	C: Student's T-test significant_	C: Student's T-test Significant I315R_I315X	C: Student's T-test significant__	C: Student's T-test Significant I315R_I315X_	C: Student's T-test significant___	N: Peptides	N: Razor + unique peptides	N: Unique peptides	N: Sequence coverage [%]	N: Unique + razor sequence coverage [%]	N: Unique sequence coverage [%]	N: Mol. weight [kDa]	N: Q-value	N: Score	N: Intensity	N: iBAQ peptides	N: MS/MS count	N: -Log Student's T-test p-value I315I_I315R	N: Student's T-test Difference I315I_I315R	N: Student's T-test Test statistic I315I_I315R	N: -Log Student's T-test p-value I315I_I315X	N: Student's T-test Difference I315I_I315X	N: Student's T-test Test statistic I315I_I315X	N: -Log Student's T-test p-value I315R_I315X	N: Student's T-test q-value I315R_I315X	N: Student's T-test Difference I315R_I315X	N: Student's T-test Test statistic I315R_I315X	N: -Log Student's T-test p-value I315R_I315X_	N: Student's T-test Difference I315R_I315X_	N: Student's T-test Test statistic I315R_I315X_	T: Protein IDs	T: Majority protein IDs	T: Protein names	T: Gene names	T: id
22.8758	22.9868	23.151	23.1541	23.639	22.2242	22.9176	23.6736	22.8252	22.0458			-1									17	4	3	61.7	16.7	13.3	49.67	0	34.856	85683000	21	59	0.201806	-0.279071	-0.523421	0.820081	-0.557092	-1.77063	0.204511	0.884715	-0.278021	-0.529572	0.204511	-0.278021	-0.529572	P07437;A6NNZ2;CON__ENSEMBL:ENSBTAP00000025008;Q9H4B7	P07437	Tubulin beta chain	TUBB	151
20.8877	21.1618	20.1994	19.0567	20.2289	19.9369	19.044	20.0953	21.6375	19.8182			-1									4	4	4	41.4	41.4	41.4	15.054	0	5.728	14116000	9	11	0.990686	1.25528	2.1128	0.785007	1.08792	1.70155	0.122625	0.918469	-0.167359	-0.335643	0.122625	-0.167359	-0.335643	P07737	P07737	Profilin-1	PFN1	153
27.5194	27.1969	26.6591	26.7919	27.8671	27.3247	26.6702	27.159	27.2286	27.7264			-1									13	13	13	50	50	50	33.67	0	49.529	1617200000	22	139	0.0297282	0.0242558	0.0883588	0.173616	0.184574	0.458381	0.120769	0.918028	0.160318	0.331032	0.120769	0.160318	0.331032	P07910;P0DMR1;O60812;B7ZW38;B2RXH8	P07910;P0DMR1;O60812;B7ZW38;B2RXH8	Heterogeneous nuclear ribonucleoproteins C1/C2;Heterogeneous nuclear ribonucleoprotein C-like 4;Heterogeneous nuclear ribonucleoprotein C-like 1;Heterogeneous nuclear ribonucleoprotein C-like 3;Heterogeneous nuclear ribonucleoprotein C-like 2	HNRNPC;HNRNPCL4;HNRNPCL1;HNRNPCL3;HNRNPCL2	154
18.5909	17.3625	19.3008	19.0135	19.4192	17.957	17.9923	18.7156	17.0411	19.8368			-1	#ERROR!	I315I_I315R							1	1	1	19.8	19.8	19.8	10.739	0.0030166	2.1393	2055600	7	2	1.80697	-1.73511	-4.04056	1.28326	-1.45057	-2.73658	0.192379	0.875703	0.284538	0.501868	0.192379	0.284538	0.501868	P07919	P07919	Cytochrome b-c1 complex subunit 6, mitochondrial	UQCRH	155
18.6237	20.3275	22.0741	20.7434	18.8157	18.7577	18.6926	19.1458	18.5735	17.8791			-1									3	3	3	7.4	7.4	7.4	58.573	0	3.9748	9602500	33	6	0.0120734	-0.0365009	-0.0365664	0.199178	-0.641213	-0.517432	0.164625	0.888835	-0.604712	-0.437248	0.164625	-0.604712	-0.437248	P07948	P07948	Tyrosine-protein kinase Lyn	LYN	156
20.8583	20.5598	21.2403	21.0237	22.1163	20.1828	20.3354	20.6433	19.6874	20.8282			-1									3	3	3	16.6	16.6	16.6	22.006	0	6.34E+00	1.95E+07	1.10E+01	13	1.17507	-0.688393	-2.4992	0.884338	-1.08731	-1.89816	0.309607	0.819208	-0.398918	-0.758808	0.309607	-0.398918	-0.758808	P08134;P61586;P62745	P08134;P61586	Rho-related GTP-binding protein RhoC;Transforming protein RhoA	RHOC;RHOA	158
22.5862	22.699	23.2113	23.4083	24.0066	22.5012	21.7341	23.4615	22.9686	23.494			-1	#ERROR!	I315I_I315R							12	12	5	21.7	21.7	9	83.263	0	37.232	91804000	40	47	2.21929	-0.731681	-5.31262	0.14246	-0.261066	-0.384255	0.284894	0.82507	0.470615	0.706377	0.284894	0.470615	0.706377	P08238;Q58FF7;Q14568;Q58FF6;Q58FG0;Q58FF8;Q58FG1;P14625	P08238	Heat shock protein HSP 90-beta	HSP90AB1	159
21.6824	21.8688	23.2744	20.9167	21.5382	20.2384	20.906	21.6223	20.8301	20.2713			-1									7	7	7	13.5	13.5	13.5	85.513	0	15.418	31926000	42	17	0.0229846	0.0423686	0.0687982	0.470525	-0.927089	-1.08628	0.527802	0.768664	-0.969458	-1.19923	0.527802	-0.969458	-1.19923	P08473	P08473	Neprilysin	MME	160
22.0333	21.7195	20.4776	20.9893	21.5538	21.898	19.2486	21.8839	22.2267	21.4723			-1									2	2	2	8.6	8.6	8.6	35.422	0	4.5171	29961000	17	14	0.771713	0.499583	1.67545	1.04754	1.52141	2.22979	0.646197	0.770446	1.02182	1.43038	0.646197	1.02182	1.43038	P08574	P08574	Cytochrome c1, heme protein, mitochondrial	CYC1	161
21.6314	22.6007	22.2601	22.078	23.0404	21.9912	21.0987	21.5226	22.0366	22.4648			-1									5	5	5	15.6	15.6	15.6	51.556	0	5.7826	47204000	19	22	0.216999	0.187663	0.557777	0.0436684	0.0764306	0.127982	0.061586	0.948174	-0.111232	-0.177436	0.061586	-0.111232	-0.177436	P08621	P08621	U1 small nuclear ribonucleoprotein 70 kDa	SNRNP70	162
23.7761	24.5651	24.811	24.8423	25.1205	22.7807	24.1219	23.9068	23.1254	24.0349			-1									6	6	6	49.6	49.6	49.6	15.55	0	106.82	202710000	6	101	0.550367	-0.770941	-1.24345	0.896505	-1.19404	-1.92247	0.436068	0.77156	-0.4231	-1.01767	0.436068	-0.4231	-1.01767	P08708	P08708	40S ribosomal protein S17	RPS17	164
21.0008	21.6949	22.723	21.5041	21.4751	20.2748	21.3883	21.5289	19.8833	21.0439			-1									7	2	2	26	9	9	40.532	0	6.4592	28474000	17	10	0.576685	-0.741303	-1.2949	0.824858	-1.24449	-1.78007	0.475424	0.743588	-0.503188	-1.09599	0.475424	-0.503188	-1.09599	P08754	P08754	Guanine nucleotide-binding protein G(k) subunit alpha	GNAI3	165
24.0609	24.9557	25.0227	23.9875	25.317	23.4201	23.7414	23.6586	24.0784	23.872			-1									12	12	12	46.1	46.1	46.1	32.854	0	52.066	214110000	15	66	0.275211	0.31203	0.685617	0.341427	-0.542285	-0.825276	0.800653	0.676378	-0.854314	-1.73233	0.800653	-0.854314	-1.73233	P08865	P08865	40S ribosomal protein SA	RPSA	166
20.6301	20.7127	20.6481	21.3758	21.9773	20.6771	21.3209	21.2277	21.206	19.5935			-1									1	1	1	13.3	13.3	13.3	14.716	0	4.9605	21796000	9	14	0.0786051	0.132918	0.223029	0.463255	-0.45013	-1.07186	0.352181	0.791798	-0.583048	-0.847505	0.352181	-0.583048	-0.847505	P09382	P09382	Galectin-1	LGALS1	167
27.6263	26.9937	27.5352	26.7376	26.5406	26.9639	26.2071	25.5394	25.5075	25.6968			-1									24	24	11	52.1	52.1	27.8	32.708	0	212.64	1104100000	23	234	0.331357	0.497076	0.804357	0.162056	-0.272598	-0.431172	0.632738	0.772925	-0.769674	-1.40417	0.632738	-0.769674	-1.40417	P09493	P09493	Tropomyosin alpha-1 chain	TPM1	168
17.9528	18.709	19.2644	17.5311	21.0723	17.7083	20.8802	21.1007	17.335	16.5427			-1			#ERROR!	I315I_I315X					1	1	1	5.7	5.7	5.7	25.19	0	3.533	6383700	10	6	0.119696	-0.474094	-0.328362	1.61552	-2.48818	-3.5297	0.601963	0.763926	-2.01409	-1.34421	0.601963	-2.01409	-1.34421	P09497	P09497	Clathrin light chain B	CLTB	169
27.0503	26.8781	26.7607	26.7712	27.5558	26.9829	26.4406	26.6539	26.9842	27.1617			-1									16	16	16	45.4	45.4	45.4	38.746	0	69.15	1300100000	19	175	0.212232	0.0861562	0.547047	0.0296554	0.0293878	0.0881489	0.0535256	0.949295	-0.0567684	-0.155383	0.0535256	-0.0567684	-0.155383	P09651;Q32P51	P09651;Q32P51	Heterogeneous nuclear ribonucleoprotein A1;Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed;Heterogeneous nuclear ribonucleoprotein A1-like 2	HNRNPA1;HNRNPA1L2	170
24.3527	24.6626	24.7038	24.0332	25.9326	24.3576	23.7858	23.9971	24.4429	24.7352			-1									16	16	16	22.3	22.3	22.3	113.08	0	38.136	259950000	60	107	0.380455	0.232562	0.905454	0.195324	-0.319667	-0.508621	0.342899	0.799687	-0.55223	-0.828326	0.342899	-0.55223	-0.828326	P09874	P09874	Poly [ADP-ribose] polymerase 1	PARP1	172
20.7247	21.3033	22.3553	18.5528	17.8509	19.6037	19.5018	18.0904	19.6291	17.0083			-1	#ERROR!	I315I_I315R							2	2	2	2.4	2.4	2.4	165.91	0.005772	1.8959	11294000	87	2	1.46834	2.29487	3.16518	0.0673158	0.276045	0.192928	0.655888	0.768529	-2.01882	-1.44925	0.655888	-2.01882	-1.44925	P09884	P09884	DNA polymerase alpha catalytic subunit	POLA1	173
21.3596	21.8615	22.044	21.1178	22.8623	20.7961	21.0415	20.3061	20.8545	19.9933			-1									3	3	3	12.8	12.8	12.8	33.488	0	5.6532	28941000	11	15	0.656347	0.698318	1.45015	0.573581	-0.811909	-1.28884	1.13799	0.668677	-1.51023	-2.41979	1.13799	-1.51023	-2.41979	Q01105;P0DME0	Q01105;P0DME0	Protein SET;Protein SETSIP	SET;SETSIP	175
20.4498	20.6152	20.2053	20.6943	20.1416	19.0563	20.5613	20.5653	18.9319	20.5652			-1									5	1	1	10.5	2.3	2.3	70.051	0	4.1288	11640000	36	14	0.923472	-1.07378	-1.97657	0.61985	-0.768239	-1.37906	1.04394	0.66479	0.305542	2.22234	1.04394	0.305542	2.22234	P0DMV9;P0DMV8	P0DMV9;P0DMV8	Heat shock 70 kDa protein 1B;Heat shock 70 kDa protein 1A	HSPA1B;HSPA1A	176
25.6182	25.2791	26.4252	24.6797	24.8412	24.3755	24.707	23.6379	23.8427	23.3992			-1									9	9	9	60.4	60.4	60.4	16.837	0	139.24	327580000	9	62	0.443583	0.593493	1.03269	0.523696	-0.8254	-1.19117	0.981694	0.639347	-1.41889	-2.09445	0.981694	-1.41889	-2.09445	P0DP25;P0DP24;P0DP23;P27482;P02585	P0DP25;P0DP24;P0DP23			177
23.3272	23.2511	23.1727	22.8969	23.8758	23.1615	22.2629	23.1752	23.359	23.1362			-1									8	8	8	22	22	22	61.054	0	46.568	97032000	36	59	0.83717	0.187768	1.80442	0.118811	0.153404	0.326156	0.0242057	0.968296	-0.0343634	-0.0723599	0.0242057	-0.0343634	-0.0723599	P10809	P10809	60 kDa heat shock protein, mitochondrial	HSPD1	180
25.74	25.4517	26.2308	25.9346	26.7821	24.8465	25.8587	25.5199	24.2648	25.7185			-1			#ERROR!	I315I_I315X					22	21	21	40.5	40.5	40.5	72.332	0	109.81	574710000	39	248	1.12726	-0.869995	-2.39697	1.5241	-1.43619	-3.30063	0.899049	0.656364	-0.566193	-1.92756	0.899049	-0.566193	-1.92756	P11021	P11021	78 kDa glucose-regulated protein	HSPA5	181
28.7535	28.6648	29.0831	28.7609	29.4946	27.6453	28.7502	28.706	26.8009	28.932			-1									29	29	25	48.8	48.8	44.7	70.897	0	275.11	4386600000	37	505	0.944029	-1.09599	-2.01801	1.13928	-1.40565	-2.42254	0.615952	0.761029	-0.30966	-1.37147	0.615952	-0.30966	-1.37147	P11142;P54652	P11142	Heat shock cognate 71 kDa protein	HSPA8	183
21.2656	21.993	23.0091	21.8643	23.1594	22.9274	21.9055	21.6481	22.3449	22.1672			-1									7	7	7	13.5	13.5	13.5	90.725	0	13.119	53552000	47	24	0.783257	0.528596	1.69811	0.218662	-0.269578	-0.56151	0.878734	0.644806	-0.798174	-1.88698	0.878734	-0.798174	-1.88698	P11387	P11387	DNA topoisomerase 1	TOP1	185
21.8748	22.4482	22.5445	21.5442	23.9286	21.7859	22.6982	22.3905	21.8754	22.5739			-1									9	9	9	12.4	12.4	12.4	101.53	0	14.744	60720000	56	38	0.12886	-0.133029	-0.351052	0.987318	-1.02063	-2.10592	0.754377	0.736335	-0.887597	-1.64147	0.754377	-0.887597	-1.64147	P11586	P11586	C-1-tetrahydrofolate synthase, cytoplasmic;Methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase;Formyltetrahydrofolate synthetase;C-1-tetrahydrofolate synthase, cytoplasmic, N-terminally processed	MTHFD1	187
25.5353	25.4052	24.8728	25.3494	25.73	24.9811	24.7775	25.3719	25.2112	25.1958			-1									14	14	9	21.9	21.9	14.8	70.67	0	24.742	404760000	38	111	0.325561	-0.106541	-0.79227	0.0781052	0.0724398	0.221707	0.227527	0.879475	0.178981	0.581322	0.227527	0.178981	0.581322	P11940;Q4VXU2;Q9H361;Q5JQF8;Q96DU9	P11940	Polyadenylate-binding protein 1	PABPC1	188
25.8641	26.2476	25.5546	26.7907	26.7962	25.5716	26.1307	26.1023	26.6771	25.9753			-1									23	23	23	21	21	21	181.06	0	319.57	791320000	100	248	0.109528	-0.124023	-0.302862	0.00329558	0.00485738	0.0100797	0.105823	0.927813	0.128881	0.293484	0.105823	0.128881	0.293484	P12107	P12107	Collagen alpha-1(XI) chain	COL11A1	189
21.0595	21.6903	19.1381	19.1549	19.8041	20.9855	18.8598	19.5195	21.1401	19.1605			-1	#ERROR!	I315I_I315R	#ERROR!	I315I_I315X					10	2	2	40.3	7.4	7.4	33.064	0	3.1908	12354000	21	12	2.90267	1.9937	8.11958	2.32609	2.00462	5.68737	0.0118124	0.982163	0.0109151	0.0357863	0.0118124	0.0109151	0.0357863	P12235	P12235	ADP/ATP translocase 1	SLC25A4	190
26.1294	26.7116	26.4546	26.1078	26.5979	25.9013	25.983	26.4097	26.1438	26.2252			-1									12	12	3	48.7	48.7	12.8	32.866	0	22.821	819880000	22	105	0.00599615	0.00467491	0.0182836	0.110813	-0.0929298	-0.306104	0.18074	0.884055	-0.0976048	-0.474986	0.18074	-0.0976048	-0.474986	P12236	P12236	ADP/ATP translocase 3;ADP/ATP translocase 3, N-terminally processed	SLC25A6	191
24.1175	23.8074	24.3471	23.0617	24.4276	23.0765	23.092	23.5224	22.4262	23.3572			-1									14	14	14	8.3	8.3	8.3	267.29	0	26.504	131760000	140	52	0.191396	-0.210391	-0.499608	0.655487	-0.852207	-1.44847	0.639357	0.762828	-0.641815	-1.41706	0.639357	-0.641815	-1.41706	P12270	P12270	Nucleoprotein TPR	TPR	192
20.9751	18.876	21.9009	18.1662	20.5988	20.4917	18.7264	18.6595	18.6735	20.7246			-1									12	5	5	18.9	9.5	9.5	103.06	0	8.051	12101000	60	7	0.0582441	0.163641	0.16833	0.415987	-1.06162	-0.977389	0.433746	0.768511	-1.22527	-1.01303	0.433746	-1.22527	-1.01303	P12814;P35609	P12814	Alpha-actinin-1	ACTN1	193
21.1236	19.4373	19.097	18.9144	18.8413	20.4323	17.998	17.931	18.681	19.3597			-1									2	2	2	13.2	13.2	13.2	21.564	0.0029985	2.0652	4409500	13	3	0.520555	0.781816	1.185	0.649934	0.871414	1.43766	NaN	1	0	NaN	0.0577018	0.0895983	0.166848	P12829	P12829	Myosin light chain 4	MYL4	194
24.1513	24.3135	24.2627	24.0156	24.9366	24.1321	23.1939	24.0946	24.0251	24.5192			-1									14	14	14	30.7	30.7	30.7	69.842	0	30.771	195690000	40	63	0.107556	-0.0528933	-0.297877	0.0166782	0.025849	0.0502596	0.0509649	0.946633	0.0787423	0.148312	0.0509649	0.0787423	0.148312	P12956	P12956	X-ray repair cross-complementing protein 6	XRCC6	195
22.7209	23.6591	23.3153	22.5415	24.9933	22.7715	23.0485	22.817	22.7406	23.8666			-1									12	12	12	29.4	29.4	29.4	82.704	0	44.587	115630000	44	50	0.0117517	-0.0179316	-0.0356047	0.463824	-0.728646	-1.07299	0.41385	0.782393	-0.710714	-0.973087	0.41385	-0.710714	-0.973087	P13010	P13010	X-ray repair cross-complementing protein 5	XRCC5	196
17.2332	17.0917	20.7772	19.4866	21.0739	20.9238	19.2409	19.9826	18.9707	20.8514			-1									4	4	4	6.9	6.9	6.9	95.337	0	5.1116	10789000	52	5	0.400014	-1.1115	-0.945161	0.477707	-1.36861	-1.10051	0.136766	0.905196	-0.257107	-0.370421	0.136766	-0.257107	-0.370421	P13639	P13639	Elongation factor 2	EEF2	198
18.4153	18.7823	20.5195	19.2344	20.5097	18.2064	19.2342	18.5552	17.9612	19.4149			-1			#ERROR!	I315I_I315X					2	2	2	5.2	5.2	5.2	61.049	0	3.1145	5278000	32	3	0.985829	-0.75151	-2.10288	1.64485	-1.77118	-3.60515	0.953243	0.669882	-1.01967	-2.03665	0.953243	-1.01967	-2.03665	P13674	P13674	Prolyl 4-hydroxylase subunit alpha-1	P4HA1	199
22.247	22.755	23.1507	22.3375	22.8579	18.5036	22.1492	22.5787	18.1988	22.5573			-1									6	6	6	14.6	14.6	14.6	58.489	0	11.126	51729000	26	20	0.842287	-2.67204	-1.81455	0.90179	-2.90014	-1.93305	0.301975	0.82311	-0.228102	-0.742697	0.301975	-0.228102	-0.742697	P14373;Q9HCM9	P14373	Zinc finger protein RFP	TRIM27	200
20.8269	20.5453	20.761	20.0063	20.7412	19.7469	19.7456	20.4198	19.7193	20.1505			-1									1	1	1	15.7	15.7	15.7	9.3959	0	2.55	13162000	5	9	0.251843	-0.188401	-0.63496	0.405539	-0.412141	-0.956329	0.248534	0.865309	-0.22374	-0.627719	0.248534	-0.22374	-0.627719	P14406	P14406	Cytochrome c oxidase subunit 7A2, mitochondrial	COX7A2	201
20.0054	20.1772	21.1444	20.9669	20.2358	21.0772	20.1668	20.8973	20.7566	20.6288			-1									4	4	4	14.3	14.3	14.3	57.936	0	8.8636	16576000	36	7	0.221586	-0.160667	-0.568062	0.139321	0.154651	0.37664	0.403075	0.789935	0.315318	0.951352	0.403075	0.315318	0.951352	P14618	P14618	Pyruvate kinase PKM	PKM	202
23.5272	22.668	23.4256	22.444	21.4865	22.1135	21.5944	21.2467	20.2281	19.7832			-1									7	5	5	40.9	29.3	29.3	22.764	0	12.681	50987000	14	21	0.182898	0.511876	0.479994	0.197822	-0.498964	-0.514336	0.435762	0.76973	-1.01084	-1.01706	0.435762	-1.01084	-1.01706	P14649	P14649	Myosin light chain 6B	MYL6B	203
24.9715	25.2566	25.4915	24.8831	25.8159	25.0302	24.8837	24.7431	25.2479	25.3717			-1									15	15	15	42.8	42.8	42.8	64.132	0	206.48	386740000	24	142	0.365792	0.178968	0.875488	0.316274	-0.218767	-0.772826	0.525174	0.764137	-0.397735	-1.19407	0.525174	-0.397735	-1.19407	P14866	P14866	Heterogeneous nuclear ribonucleoprotein L	HNRNPL	204
21.0216	21.5629	20.409	21.8294	20.9744	21.4308	21.9774	18.8468	20.663	21.7558			-1									2	2	2	4.6	4.6	4.6	81.744	0	2.624	24563000	44	4	0.148837	0.408209	0.399637	0.0637971	0.0986131	0.183432	0.102729	0.924962	-0.309596	-0.285616	0.102729	-0.309596	-0.285616	P14923	P14923	Junction plakoglobin	JUP	205
24.9104	25.4869	25.2621	24.6956	26.6141	24.7696	24.8552	24.7506	24.6802	25.2363			-1									17	17	8	34.5	34.5	21.8	69.412	0	52.742	402270000	39	90	0.098671	0.0846977	0.275242	0.434434	-0.598252	-1.0144	0.5396	0.765476	-0.68295	-1.22237	0.5396	-0.68295	-1.22237	P15311	P15311	Ezrin	EZR	207
25.2747	26.1711	26.2096	26.0249	26.4016	25.1035	25.7279	25.5156	25.3846	25.603			-1									9	9	9	39.9	39.9	39.9	31.324	0	78.611	585040000	22	102	0.17148	-0.161444	-0.453378	0.674135	-0.559964	-1.4848	0.715071	0.731788	-0.39852	-1.56462	0.715071	-0.39852	-1.56462	P15880	P15880	40S ribosomal protein S2	RPS2	208
28.7556	28.5473	27.3236	28.2349	28.0919	28.4213	27.9149	27.7551	28.132	28.3445			-1									52	52	52	24	24	24	331.77	0	138.5	3089500000	204	346	0.511517	0.255387	1.16723	1.05502	0.59007	2.24531	0.495938	0.750246	0.334683	1.13654	0.495938	0.334683	1.13654	P15924	P15924	Desmoplakin	DSP	209
27.0191	26.5517	26.1432	26.6716	27.6659	26.7653	26.2515	26.6747	26.623	27.3163			-1									7	7	7	22.1	22.1	22.1	22.58	0	20.606	1199900000	13	96	0.466322	-0.240825	-1.07795	0.0272849	-0.0402063	-0.0813025	0.138546	0.909065	0.200619	0.374754	0.138546	0.200619	0.374754	P16401	P16401	Histone H1.5	HIST1H1B	211
23.5516	19.5528	23.0147	23.4353	24.5105	23.4686	23.1015	23.3287	23.0666	24.213			-1									7	1	1	22.6	7.2	7.2	22.35	0	3.33	115390000	13	24	0.568349	-1.62968	-1.27862	0.494344	-1.51292	-1.1334	0.0732413	0.939647	0.116756	0.208796	0.0732413	0.116756	0.208796	P16402	P16402	Histone H1.3	HIST1H1D	212
27.8493	27.4145	26.726	27.4805	27.654	27.7899	26.4832	27.0526	27.5669	27.9488			-1									7	7	1	23.5	23.5	7.5	21.364	0	32.209	1853100000	13	118	0.12585	0.0964966	0.343628	0.786813	0.636059	1.7051	0.540558	0.766247	0.539563	1.22425	0.540558	0.539563	1.22425	P16403	P16403	Histone H1.2	HIST1H1C	213
19.3387	20.7609	21.1643	20.2391	22.1241	19.3017	21.0254	21.594	20.5622	21.0152			-1									4	4	4	5.1	5.1	5.1	114.76	0	6.6999	20212000	52	9	0.543746	-0.741156	-1.23049	1.00733	-1.22966	-2.14687	0.394658	0.7895	-0.488502	-0.934317	0.394658	-0.488502	-0.934317	P16615;Q93084;O14983	P16615	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	ATP2A2	214
20.2857	20.669	20.8381	20.4899	21.7752	19.8829	20.4348	20.768	19.7173	21.1718			-1									6	1	1	16.1	5.1	5.1	40.089	0	11.809	17276000	18	15	0.95196	-0.720166	-2.03405	0.873212	-0.926302	-1.87598	0.1763	0.879743	-0.206136	-0.464651	0.1763	-0.206136	-0.464651	P16989	P16989	Y-box-binding protein 3	YBX3	215
24.5666	24.4551	25.0304	24.6347	25.3078	23.5558	24.546	24.6779	17.8231	25.1035			-1									5	1	1	8.2	1.7	1.7	71.027	0	2.9655	249410000	39	15	0.617118	-2.86072	-1.37374	0.653256	-3.0167	-1.44413	0.227662	0.880649	-0.15598	-0.581624	0.227662	-0.15598	-0.581624	P17066;P48741	P17066;P48741	Heat shock 70 kDa protein 6;Putative heat shock 70 kDa protein 7	HSPA6;HSPA7	216
23.4136	23.1672	24.1312	23.402	25.8902	23.5595	24.4136	23.2144	24.3683	24.7525			-1									4	4	4	41.1	41.1	41.1	11.676	0	169.71	206610000	6	46	0.0523679	-0.0912793	-0.15219	0.790795	-1.11336	-1.71293	0.631166	0.769731	-1.02208	-1.40111	0.631166	-1.02208	-1.40111	P17096	P17096	High mobility group protein HMG-I/HMG-Y	HMGA1	217
23.1909	23.1596	23.9217	22.8304	23.5805	22.4249	23.1999	23.5658	21.5184	22.8891			-1									5	5	5	22.8	22.8	22.8	43.008	0	12.574	93293000	22	26	0.616488	-0.727496	-1.37251	1.08809	-1.19975	-2.31435	0.681866	0.739826	-0.472254	-1.49986	0.681866	-0.472254	-1.49986	P17302	P17302	Gap junction alpha-1 protein	GJA1	218
22.7238	22.54	23.0139	22.5975	23.5805	21.1187	22.8923	23.0016	20.9583	22.8677			-1			#ERROR!	I315I_I315X					8	8	8	20.9	20.9	20.9	60.343	0	20.642	68537000	35	35	1.16821	-1.28323	-2.48443	1.38799	-1.62322	-2.97535	0.629891	0.767644	-0.339985	-1.39862	0.629891	-0.339985	-1.39862	P17987	P17987	T-complex protein 1 subunit alpha	TCP1	222
26.3624	26.4055	26.0167	26.3691	27.1141	26.2131	25.681	26.302	26.6701	26.8392			-1									11	11	11	41.5	41.5	41.5	29.225	0	29.342	916140000	16	124	0.12599	-0.0738564	-0.343975	0.128963	0.158983	0.351307	0.192092	0.875102	0.23284	0.501209	0.192092	0.23284	0.501209	P18124	P18124	60S ribosomal protein L7	RPL7	224
25.8427	25.9193	26.7829	26.1949	26.8171	24.3568	26.2647	26.3336	23.3819	26.1505			-1									33	33	33	22.8	22.8	22.8	263.83	0	142.95	706260000	81	256	1.06139	-1.67368	-2.25857	1.27639	-2.06892	-2.72125	0.990907	0.636917	-0.395245	-2.11325	0.990907	-0.395245	-2.11325	P18583	P18583	Protein SON	SON	225
26.7443	27.0939	27.4842	26.9174	27.8352	25.8384	27.0051	26.5567	26.2195	26.9304			-1									9	9	9	44	44	44	21.397	0	71.289	1309000000	11	145	0.460944	-0.417618	-1.06727	1.12345	-1.05761	-2.3889	1.11481	0.665029	-0.63999	-2.37061	1.11481	-0.63999	-2.37061	P18621	P18621	60S ribosomal protein L17	RPL17	226
22.2995	22.4836	21.4943	21.775	22.9617	22.5399	21.2196	22.1672	22.472	22.7977			-1									5	5	5	20.9	20.9	20.9	44.969	0	13.423	52097000	19	26	0.350117	0.251829	0.843248	0.48802	0.606588	1.12091	0.224522	0.876043	0.35476	0.574623	0.224522	0.35476	0.574623	P18754	P18754	Regulator of chromosome condensation	RCC1	227
26.3044	26.5019	26.3125	26.6026	27.0272	26.1896	25.4454	25.7623	26.0855	26.7717			-1									16	16	16	24.4	24.4	24.4	76.613	0	174.96	864830000	46	207	0.13104	-0.119846	-0.356411	0.00184664	-0.00268237	-0.0056574	0.0742964	0.938691	0.117163	0.211605	0.0742964	0.117163	0.211605	P19338	P19338	Nucleolin	NCL	229
24.9423	24.9422	24.6917	24.2868	25.7493	24.8482	24.7381	24.9813	24.5793	25.5566			-1									19	19	19	38.1	38.1	38.1	66.408	0	94.626	334170000	38	143	0.147405	-0.151691	-0.396192	0.30346	-0.269836	-0.745838	0.0829601	0.935369	-0.118144	-0.234496	0.0829601	-0.118144	-0.234496	P20700	P20700	Lamin-B1	LMNB1	231
18.3582	17.3728	19.5558	17.9366	20.7098	18.8777	20.994	20.2513	18.9674	17.4207			-1			#ERROR!	I315I_I315X					3	3	3	8.2	8.2	8.2	56.5	0	2.6933	7152400	29	3	0.0439126	-0.130271	-0.128667	1.38416	-2.01391	-2.96644	0.901078	0.664101	-1.88364	-1.93163	0.901078	-1.88364	-1.93163	P21281;P15313	P21281;P15313	V-type proton ATPase subunit B, brain isoform;V-type proton ATPase subunit B, kidney isoform	ATP6V1B2;ATP6V1B1	234
24.8769	24.8712	25.1374	24.285	25.1566	24.1797	24.3875	24.6416	24.2903	24.4509			-1									21	21	19	12.9	12.9	11.9	280.74	0	54.483	266820000	144	136	0.0168345	-0.0120678	-0.050722	0.602984	-0.446734	-1.3462	0.727995	0.745669	-0.434666	-1.58986	0.727995	-0.434666	-1.58986	P21333	P21333	Filamin-A	FLNA	235
25.0077	25.4864	24.7809	24.6141	26.3718	25.6938	24.544	25.4289	25.6872	25.9503			-1									14	14	14	66.8	66.8	66.8	30.772	0	156.96	464860000	18	174	0.299866	0.291401	0.738232	0.270422	0.390243	0.6753	0.0489026	0.946436	0.098842	0.142593	0.0489026	0.098842	0.142593	P21796	P21796	Voltage-dependent anion-selective channel protein 1	VDAC1	236
